,name,orig_n,orig_m,model,sel,trial_id,gen_id,gen_n,gen_m,deltacon0,lambda_dist,degree_cvm,pagerank_cvm,pgd_pearson,pgd_spearman,node_diff,edge_diff,num_components,giant_frac,num_clusters,modularity
0,flights,2905,15645,CNRG,fast,1,1,2926,13815,11104.055,11.845,0.067,0.018,3.2482195484462295e-06,0.0,21.0,1830.0,1,1.0,32,0.6430510642350201
1,flights,2905,15645,CNRG,fast,1,2,2949,12495,11299.762,18.564,0.071,0.031,1.0035173604650005e-05,0.004901960784313708,44.0,3150.0,1,1.0,40,0.6278996272378498
2,flights,2905,15645,CNRG,fast,1,3,2961,11733,11185.988,21.624,0.082,0.048,1.5320984060873677e-05,0.014705882352941013,56.0,3912.0,1,1.0,46,0.6196054200041664
3,flights,2905,15645,CNRG,fast,1,4,2966,11103,11689.42,24.823,0.087,0.064,2.0278223033631804e-05,0.031862745098039214,61.0,4542.0,1,1.0,46,0.6095264917613035
4,flights,2905,15645,CNRG,fast,1,5,2953,10640,11459.363,26.572,0.098,0.078,2.3233091886565305e-05,0.031862745098039214,48.0,5005.0,1,1.0,50,0.5998980916812707
5,flights,2905,15645,CNRG,fast,1,6,2936,10292,11463.179,28.735,0.11,0.094,2.51850671165732e-05,0.039215686274509776,31.0,5353.0,1,1.0,52,0.5890716448910623
6,flights,2905,15645,CNRG,fast,1,7,2957,10060,11208.103,30.364,0.108,0.101,2.8743119681373663e-05,0.039215686274509776,52.0,5585.0,1,1.0,49,0.5877136485263372
7,flights,2905,15645,CNRG,fast,1,8,2938,9783,11058.755,31.121,0.122,0.116,3.0164608026628237e-05,0.039215686274509776,33.0,5862.0,1,1.0,47,0.5839625892288918
8,flights,2905,15645,CNRG,fast,1,9,2942,9603,10889.787,32.199,0.132,0.124,3.217437701341641e-05,0.051470588235294046,37.0,6042.0,1,1.0,36,0.5703467816000296
9,flights,2905,15645,CNRG,fast,1,10,2968,9499,10910.506,32.82,0.107,0.129,3.504743933735455e-05,0.05882352941176472,63.0,6146.0,1,1.0,38,0.5536969328313228
10,flights,2905,15645,CNRG,fast,1,11,2994,9385,10901.728,33.735,0.104,0.133,3.8100986081479604e-05,0.06617647058823528,89.0,6260.0,1,1.0,25,0.5458987621514853
11,flights,2905,15645,CNRG,fast,1,12,3005,9291,10990.758,34.695,0.097,0.141,3.987016010920108e-05,0.0808823529411763,100.0,6354.0,1,1.0,23,0.5349537336543106
12,flights,2905,15645,CNRG,fast,1,13,3011,9201,11106.573,35.288,0.102,0.143,4.1322722756143015e-05,0.0808823529411763,106.0,6444.0,1,1.0,20,0.5285932461682096
13,flights,2905,15645,CNRG,fast,1,14,3040,9166,11066.373,35.725,0.115,0.147,4.3765684380359104e-05,0.0808823529411763,135.0,6479.0,1,1.0,26,0.5180127892029901
14,flights,2905,15645,CNRG,fast,1,15,3065,9136,11206.133,36.167,0.092,0.148,4.5915011395947225e-05,0.0808823529411763,160.0,6509.0,1,1.0,31,0.512253096140517
15,flights,2905,15645,CNRG,fast,1,16,3044,9044,11136.538,36.556,0.096,0.161,4.5473096570103344e-05,0.0808823529411763,139.0,6601.0,1,1.0,25,0.5094568012963705
16,flights,2905,15645,CNRG,fast,1,17,3063,9022,11151.868,37.443,0.072,0.172,4.7002104008764256e-05,0.0808823529411763,158.0,6623.0,1,1.0,25,0.501099906231822
17,flights,2905,15645,CNRG,fast,1,18,3050,8943,11252.971,37.823,0.07,0.182,4.7000770182159535e-05,0.0808823529411763,145.0,6702.0,1,1.0,24,0.4825417725983547
18,flights,2905,15645,CNRG,fast,1,19,3070,8953,11784.65,39.41,0.07,0.188,4.823595626413102e-05,0.09068627450980382,165.0,6692.0,1,1.0,27,0.4812452582431887
19,flights,2905,15645,CNRG,fast,1,20,3091,8928,11650.834,39.668,0.072,0.195,5.000159779555702e-05,0.09068627450980382,186.0,6717.0,1,1.0,27,0.46477629855049085
20,flights,2905,15645,CNRG,fast,2,1,2880,13807,11217.787,11.493,0.097,0.019,1.956589446239221e-06,0.0,25.0,1838.0,1,1.0,37,0.6344443854072904
21,flights,2905,15645,CNRG,fast,2,2,2885,12603,12435.444,18.46,0.117,0.032,6.39780134059631e-06,0.007352941176470451,20.0,3042.0,1,1.0,32,0.6225349537332019
22,flights,2905,15645,CNRG,fast,2,3,2906,11721,12957.796,22.916,0.087,0.044,1.233861215121923e-05,0.014705882352941013,1.0,3924.0,1,1.0,43,0.6080704436039691
23,flights,2905,15645,CNRG,fast,2,4,2928,11161,12810.15,26.122,0.096,0.059,1.743860411307363e-05,0.031862745098039214,23.0,4484.0,1,1.0,47,0.6022114353180863
