model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	0.0644200	0.0632904	0.0655496	0.0644200	0.0632904	0.0655496
BTER	2	0.0749800	0.0739190	0.0760410	0.0595200	0.0585351	0.0605049
BTER	3	0.0814800	0.0804884	0.0824716	0.0585800	0.0575011	0.0596589
BTER	4	0.0852400	0.0844009	0.0860791	0.0578400	0.0567380	0.0589420
BTER	5	0.0884400	0.0875521	0.0893279	0.0556600	0.0543525	0.0569675
BTER	6	0.0925400	0.0916538	0.0934262	0.0539200	0.0528445	0.0549955
BTER	7	0.0954000	0.0944444	0.0963556	0.0517400	0.0502028	0.0532772
BTER	8	0.0991200	0.0982349	0.1000051	0.0504600	0.0494246	0.0514954
BTER	9	0.1027400	0.1018907	0.1035893	0.0484600	0.0472663	0.0496537
BTER	10	0.1050400	0.1042507	0.1058293	0.0471600	0.0460169	0.0483031
BTER	11	0.1080000	0.1072760	0.1087240	0.0455600	0.0442862	0.0468338
BTER	12	0.1112600	0.1105526	0.1119674	0.0447200	0.0436066	0.0458334
BTER	13	0.1138200	0.1130922	0.1145478	0.0433000	0.0422709	0.0443291
BTER	14	0.1168400	0.1160416	0.1176384	0.0416800	0.0404520	0.0429080
BTER	15	0.1201600	0.1193332	0.1209868	0.0418600	0.0407174	0.0430026
BTER	16	0.1224000	0.1216065	0.1231935	0.0411400	0.0400476	0.0422324
BTER	17	0.1279600	0.1223329	0.1335871	0.0433600	0.0352452	0.0514748
BTER	18	0.1309800	0.1254291	0.1365309	0.0382400	0.0372184	0.0392616
BTER	19	0.1338800	0.1284017	0.1393583	0.0371600	0.0361935	0.0381265
BTER	20	0.1397600	0.1321975	0.1473225	0.0414000	0.0332467	0.0495533
