model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Linear_AE	1	0.9930000	0.9921740	0.9938260	0.9925000	0.9918921	0.9931079
Linear_AE	2	0.9929000	0.9922736	0.9935264	0.1821000	0.1623258	0.2018742
Linear_AE	3	0.9931000	0.9924736	0.9937264	0.1787000	0.1487725	0.2086275
Linear_AE	4	0.9932000	0.9924612	0.9939388	0.1896000	0.1623450	0.2168550
Linear_AE	5	0.9930000	0.9923256	0.9936744	0.1810000	0.1426233	0.2193767
Linear_AE	6	0.9929000	0.9918633	0.9939367	0.1637000	0.1539086	0.1734914
Linear_AE	7	0.9927000	0.9916855	0.9937145	0.1821000	0.1520807	0.2121193
Linear_AE	8	0.9934000	0.9928998	0.9939002	0.2272000	0.1394827	0.3149173
Linear_AE	9	0.9926000	0.9914221	0.9937779	0.2776000	0.1662113	0.3889887
Linear_AE	10	0.9933000	0.9929544	0.9936456	0.3657000	0.2463999	0.4850001
Linear_AE	11	0.9898000	0.9846107	0.9949893	0.4916000	0.3436891	0.6395109
Linear_AE	12	0.9819000	0.9606940	1.0031060	0.5890000	0.4587051	0.7192949
Linear_AE	13	0.9298000	0.8612759	0.9983241	0.5828000	0.3970042	0.7685958
Linear_AE	14	0.9203000	0.8521994	0.9884006	0.5157000	0.3000629	0.7313371
Linear_AE	15	0.9203000	0.8525233	0.9880767	0.5236000	0.3103580	0.7368420
Linear_AE	16	0.9096000	0.8449463	0.9742537	0.3527000	0.1176230	0.5877770
Linear_AE	17	0.8937000	0.8213903	0.9660097	0.5051000	0.3067635	0.7034365
Linear_AE	18	0.9007000	0.8341150	0.9672850	0.4883000	0.2793154	0.6972846
Linear_AE	19	0.8987000	0.8326319	0.9647681	0.4867000	0.2984003	0.6749997
Linear_AE	20	0.8980000	0.8318562	0.9641438	0.4383000	0.2112348	0.6653652
