model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	0.2129000	0.1672862	0.2585138	0.2129000	0.1672862	0.2585138
Chung-Lu	2	0.2584200	0.2193358	0.2975042	0.0497600	0.0169990	0.0825210
Chung-Lu	3	0.3102600	0.2879426	0.3325774	0.0556600	0.0210264	0.0902936
Chung-Lu	4	0.3220000	0.3089011	0.3350989	0.0168400	-0.0016370	0.0353170
Chung-Lu	5	0.3206800	0.3076324	0.3337276	0.0031000	0.0023377	0.0038623
Chung-Lu	6	0.3256600	0.3247657	0.3265543	0.0101200	-0.0029793	0.0232193
Chung-Lu	7	0.3242800	0.3233523	0.3252077	0.0031800	0.0023871	0.0039729
Chung-Lu	8	0.3231600	0.3221133	0.3242067	0.0023600	0.0017585	0.0029615
Chung-Lu	9	0.3220600	0.3210007	0.3231193	0.0023800	0.0017107	0.0030493
Chung-Lu	10	0.3207200	0.3196351	0.3218049	0.0026000	0.0019354	0.0032646
Chung-Lu	11	0.3196800	0.3185586	0.3208014	0.0021600	0.0016550	0.0026650
Chung-Lu	12	0.3184000	0.3172445	0.3195555	0.0026200	0.0018351	0.0034049
Chung-Lu	13	0.3171400	0.3159788	0.3183012	0.0025000	0.0021268	0.0028732
Chung-Lu	14	0.3160000	0.3148135	0.3171865	0.0024600	0.0018384	0.0030816
Chung-Lu	15	0.3149000	0.3137542	0.3160458	0.0022000	0.0017162	0.0026838
Chung-Lu	16	0.3138400	0.3127350	0.3149450	0.0020000	0.0015516	0.0024484
Chung-Lu	17	0.3127400	0.3115441	0.3139359	0.0019400	0.0014616	0.0024184
Chung-Lu	18	0.3115200	0.3103472	0.3126928	0.0024200	0.0018750	0.0029650
Chung-Lu	19	0.3197800	0.3002537	0.3393063	0.0196200	-0.0150139	0.0542539
Chung-Lu	20	0.3188200	0.2992519	0.3383881	0.0019800	0.0015447	0.0024153
