model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.4346000	0.4256734	0.4435266	0.4308400	0.4219551	0.4397249
Kronecker	2	0.6175600	0.6019315	0.6331885	0.2804400	0.2657999	0.2950801
Kronecker	3	0.7887200	0.7741219	0.8033181	0.3258000	0.3160617	0.3355383
Kronecker	4	0.9132400	0.9041430	0.9223370	0.3506400	0.3411051	0.3601749
Kronecker	5	0.9713600	0.9662211	0.9764989	0.3865600	0.3729941	0.4001259
Kronecker	6	0.9848800	0.9838737	0.9858863	0.4491600	0.4421654	0.4561546
Kronecker	7	0.9851600	0.9847034	0.9856166	0.4790400	0.4616573	0.4964227
Kronecker	8	0.9835600	0.9830973	0.9840227	0.4702800	0.4535822	0.4869778
Kronecker	9	0.9812800	0.9807957	0.9817643	0.4362400	0.4261513	0.4463287
Kronecker	10	0.9789600	0.9786811	0.9792389	0.4477600	0.4281449	0.4673751
Kronecker	11	0.9779600	0.9776811	0.9782389	0.4108800	0.3867909	0.4349691
Kronecker	12	0.9787600	0.9785801	0.9789399	0.3922400	0.3767299	0.4077501
Kronecker	13	0.9789091	nan	nan	0.2966364	nan	nan
