model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.9999796	0.9999795	0.9999796
BUGGE	2	0.9999797	0.9999796	0.9999797
BUGGE	3	0.9999795	0.9999795	0.9999796
BUGGE	4	0.9999795	0.9999794	0.9999795
BUGGE	5	0.9999794	0.9999794	0.9999795
BUGGE	6	0.9999794	0.9999794	0.9999795
BUGGE	7	0.9999795	0.9999795	0.9999796
BUGGE	8	0.9999795	0.9999794	0.9999795
BUGGE	9	0.9999794	0.9999794	0.9999795
BUGGE	10	0.9999794	0.9999793	0.9999794
BUGGE	11	0.9999794	0.9999794	0.9999795
BUGGE	12	0.9999794	0.9999794	0.9999795
BUGGE	13	0.9999794	0.9999793	0.9999795
BUGGE	14	0.9999795	0.9999794	0.9999795
BUGGE	15	0.9999794	0.9999794	0.9999795
BUGGE	16	0.9999795	0.9999794	0.9999795
BUGGE	17	0.9999795	0.9999794	0.9999795
BUGGE	18	0.9999794	0.9999794	0.9999795
BUGGE	19	0.9999794	0.9999793	0.9999795
BUGGE	20	0.9999795	0.9999794	0.9999795
