model	gen	abs_mean	abs95d	abs95u
BTER	1	0.9999168	0.9999160	0.9999177
BTER	2	0.9999179	0.9999165	0.9999192
BTER	3	0.9999187	0.9999172	0.9999203
BTER	4	0.9999199	0.9999180	0.9999217
BTER	5	0.9999201	0.9999179	0.9999223
BTER	6	0.9999206	0.9999183	0.9999229
BTER	7	0.9999212	0.9999190	0.9999234
BTER	8	0.9999219	0.9999196	0.9999242
BTER	9	0.9999216	0.9999192	0.9999239
BTER	10	0.9999217	0.9999193	0.9999241
BTER	11	0.9999223	0.9999199	0.9999248
BTER	12	0.9999221	0.9999197	0.9999245
BTER	13	0.9999221	0.9999195	0.9999248
BTER	14	0.9999216	0.9999187	0.9999245
BTER	15	0.9999211	0.9999181	0.9999240
BTER	16	0.9999209	0.9999179	0.9999238
BTER	17	0.9999195	0.9999165	0.9999225
BTER	18	0.9999193	0.9999162	0.9999223
BTER	19	0.9999190	0.9999160	0.9999220
BTER	20	0.9999178	0.9999147	0.9999208
