model	gen	abs_mean	abs95d	abs95u
Kronecker	1	0.9999720	0.9999713	0.9999728
Kronecker	2	0.9999772	0.9999765	0.9999779
Kronecker	3	0.9999806	0.9999802	0.9999810
Kronecker	4	0.9999828	0.9999824	0.9999831
Kronecker	5	0.9999843	0.9999840	0.9999846
Kronecker	6	0.9999858	0.9999856	0.9999861
Kronecker	7	0.9999878	0.9999877	0.9999879
Kronecker	8	0.9999901	0.9999900	0.9999902
Kronecker	9	0.9999936	0.9999934	0.9999937
Kronecker	10	0.9999955	0.9999955	0.9999955
Kronecker	11	0.9999958	0.9999958	0.9999958
Kronecker	12	0.9999959	0.9999959	0.9999959
Kronecker	13	0.9999958	0.9999958	0.9999958
Kronecker	14	0.9999958	0.9999958	0.9999958
Kronecker	15	0.9999959	0.9999958	0.9999959
Kronecker	16	0.9999958	0.9999958	0.9999959
Kronecker	17	0.9999958	0.9999958	0.9999958
Kronecker	18	0.9999959	0.9999958	0.9999959
Kronecker	19	0.9999958	0.9999958	0.9999959
Kronecker	20	0.9999958	0.9999958	0.9999959
