model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	0.9999666	0.9999658	0.9999673
Erdos-Renyi	2	0.9999673	0.9999665	0.9999680
Erdos-Renyi	3	0.9999667	0.9999659	0.9999674
Erdos-Renyi	4	0.9999667	0.9999661	0.9999673
Erdos-Renyi	5	0.9999671	0.9999664	0.9999678
Erdos-Renyi	6	0.9999668	0.9999662	0.9999674
Erdos-Renyi	7	0.9999667	0.9999659	0.9999674
Erdos-Renyi	8	0.9999673	0.9999665	0.9999680
Erdos-Renyi	9	0.9999667	0.9999659	0.9999674
Erdos-Renyi	10	0.9999673	0.9999667	0.9999678
Erdos-Renyi	11	0.9999666	0.9999658	0.9999674
Erdos-Renyi	12	0.9999674	0.9999668	0.9999679
Erdos-Renyi	13	0.9999666	0.9999658	0.9999674
Erdos-Renyi	14	0.9999666	0.9999659	0.9999672
Erdos-Renyi	15	0.9999667	0.9999660	0.9999675
Erdos-Renyi	16	0.9999673	0.9999667	0.9999679
Erdos-Renyi	17	0.9999672	0.9999665	0.9999679
Erdos-Renyi	18	0.9999668	0.9999660	0.9999677
Erdos-Renyi	19	0.9999670	0.9999665	0.9999676
Erdos-Renyi	20	0.9999668	0.9999662	0.9999673
