model	gen	abs_mean	abs95d	abs95u
SBM	1	0.9998554	0.9998525	0.9998582
SBM	2	0.9998571	0.9998546	0.9998597
SBM	3	0.9998583	0.9998551	0.9998614
SBM	4	0.9998575	0.9998547	0.9998603
SBM	5	0.9998579	0.9998549	0.9998609
SBM	6	0.9998590	0.9998557	0.9998623
SBM	7	0.9998586	0.9998548	0.9998625
SBM	8	0.9998571	0.9998534	0.9998608
SBM	9	0.9998575	0.9998535	0.9998615
SBM	10	0.9998580	0.9998540	0.9998621
SBM	11	0.9998573	0.9998536	0.9998610
SBM	12	0.9998566	0.9998526	0.9998606
SBM	13	0.9998571	0.9998531	0.9998610
SBM	14	0.9998553	0.9998509	0.9998597
SBM	15	0.9998553	0.9998505	0.9998602
SBM	16	0.9998563	0.9998517	0.9998609
SBM	17	0.9998558	0.9998512	0.9998605
SBM	18	0.9998548	0.9998504	0.9998592
SBM	19	0.9998535	0.9998490	0.9998581
SBM	20	0.9998523	0.9998478	0.9998567
