model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.9999455	0.9999454	0.9999457
Chung-Lu	2	0.9999453	0.9999452	0.9999455
Chung-Lu	3	0.9999453	0.9999451	0.9999455
Chung-Lu	4	0.9999450	0.9999449	0.9999452
Chung-Lu	5	0.9999449	0.9999448	0.9999451
Chung-Lu	6	0.9999449	0.9999448	0.9999451
Chung-Lu	7	0.9999448	0.9999446	0.9999449
Chung-Lu	8	0.9999445	0.9999444	0.9999447
Chung-Lu	9	0.9999446	0.9999444	0.9999448
Chung-Lu	10	0.9999444	0.9999442	0.9999446
Chung-Lu	11	0.9999443	0.9999442	0.9999444
Chung-Lu	12	0.9999442	0.9999441	0.9999443
Chung-Lu	13	0.9999441	0.9999439	0.9999442
Chung-Lu	14	0.9999439	0.9999438	0.9999440
Chung-Lu	15	0.9999437	0.9999436	0.9999439
Chung-Lu	16	0.9999435	0.9999434	0.9999437
Chung-Lu	17	0.9999434	0.9999432	0.9999436
Chung-Lu	18	0.9999433	0.9999432	0.9999435
Chung-Lu	19	0.9999433	0.9999432	0.9999435
Chung-Lu	20	0.9999433	0.9999431	0.9999435
