model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	17201.6082000	16885.3574653	17517.8589347
Erdos-Renyi	2	17006.7488200	16624.5635261	17388.9341139
Erdos-Renyi	3	17664.4331600	17307.8410051	18021.0253149
Erdos-Renyi	4	17413.7142000	16993.6819478	17833.7464522
Erdos-Renyi	5	17254.0855800	16825.5997300	17682.5714300
Erdos-Renyi	6	17346.5536600	16905.3405744	17787.7667456
Erdos-Renyi	7	17597.1928000	17176.4324415	18017.9531585
Erdos-Renyi	8	17188.1472600	16778.4716217	17597.8228983
Erdos-Renyi	9	17708.2012600	17236.0490953	18180.3534247
Erdos-Renyi	10	17167.3316400	16700.0910880	17634.5721920
Erdos-Renyi	11	17361.4564400	16900.5425273	17822.3703527
Erdos-Renyi	12	17758.0048000	17267.4924106	18248.5171894
Erdos-Renyi	13	17540.7440000	17100.0721343	17981.4158657
Erdos-Renyi	14	17533.0722600	17058.8425816	18007.3019384
Erdos-Renyi	15	17515.3603800	16970.5754787	18060.1452813
Erdos-Renyi	16	17352.5826000	16815.4717095	17889.6934905
Erdos-Renyi	17	17440.4016000	16852.3796135	18028.4235865
Erdos-Renyi	18	17473.5647200	16949.9269518	17997.2024882
Erdos-Renyi	19	17448.6347400	16875.9223465	18021.3471335
Erdos-Renyi	20	17261.9373400	16677.9972076	17845.8774724
