model	gen	abs_mean	abs95d	abs95u
GCN_AE	1	50175.2749600	49414.4471010	50936.1028190
GCN_AE	2	74246.0199400	66727.3435641	81764.6963159
GCN_AE	3	120147.9452200	95971.8806310	144324.0098090
GCN_AE	4	123029.9699200	98556.9027217	147503.0371183
GCN_AE	5	151844.4426400	124450.7312766	179238.1540034
GCN_AE	6	156477.8795600	129167.1129602	183788.6461598
GCN_AE	7	168486.1248400	141152.0004212	195820.2492588
GCN_AE	8	173866.3303000	146921.8480510	200810.8125490
GCN_AE	9	174148.8639200	147293.2087427	201004.5190973
GCN_AE	10	174342.1491600	147549.0495159	201135.2488041
GCN_AE	11	174371.8978400	147588.5146060	201155.2810740
GCN_AE	12	178003.9096200	151337.0591114	204670.7601286
GCN_AE	13	181696.8421800	155183.8558933	208209.8284667
GCN_AE	14	181697.0089400	155184.0777667	208209.9401133
GCN_AE	15	181689.2994400	155173.8160083	208204.7828717
GCN_AE	16	181670.7220400	155149.0523213	208192.3917587
GCN_AE	17	181670.6927000	155149.0131706	208192.3722294
GCN_AE	18	181670.6927000	155149.0131706	208192.3722294
GCN_AE	19	181670.6927000	155149.0131706	208192.3722294
GCN_AE	20	181670.6927000	155149.0131706	208192.3722294
