model	gen	abs_mean	abs95d	abs95u
SBM	1	6944.8893600	6808.3847388	7081.3939812
SBM	2	7026.2663800	6894.6222369	7157.9105231
SBM	3	7095.7686800	6939.3073201	7252.2300399
SBM	4	7052.7813200	6906.2836040	7199.2790360
SBM	5	7078.2380600	6911.8965976	7244.5795224
SBM	6	7140.5269400	6963.5592358	7317.4946442
SBM	7	7143.4589200	6928.0594466	7358.8583934
SBM	8	7055.9239000	6865.0522844	7246.7955156
SBM	9	7090.2531600	6874.1798478	7306.3264722
SBM	10	7118.6222800	6901.7120834	7335.5324766
SBM	11	7067.9133600	6873.6736226	7262.1530974
SBM	12	7041.5876600	6828.5964540	7254.5788660
SBM	13	7061.4534600	6861.4931685	7261.4137515
SBM	14	6998.2475200	6762.3319432	7234.1630968
SBM	15	7011.5913200	6759.9576948	7263.2249452
SBM	16	7053.1676400	6811.4276752	7294.9076048
SBM	17	7028.4664600	6785.3440794	7271.5888406
SBM	18	6969.7386800	6740.4420394	7199.0353206
SBM	19	6910.5774200	6683.3088332	7137.8460068
SBM	20	6847.7302800	6628.3453768	7067.1151832
