model	gen	abs_mean	abs95d	abs95u
BTER	1	14157.0725400	14053.8148036	14260.3302764
BTER	2	15611.8295400	15471.9392511	15751.7198289
BTER	3	16659.7077200	16485.6807805	16833.7346595
BTER	4	17399.4635200	17186.9943536	17611.9326864
BTER	5	18854.5687600	18613.8152487	19095.3222713
BTER	6	20235.3808000	19942.5771531	20528.1844469
BTER	7	21407.6781600	21088.6765465	21726.6797735
BTER	8	22349.0394200	21950.2312410	22747.8475990
BTER	9	23298.2291800	22849.8456729	23746.6126871
BTER	10	24274.2989800	23764.0280965	24784.5698635
BTER	11	25053.2482000	24599.5318609	25506.9645391
BTER	12	25630.1671400	25203.6744779	26056.6598021
BTER	13	26343.6451200	26024.5592302	26662.7310098
BTER	14	26829.7499200	26513.5599438	27145.9398962
BTER	15	27197.7955600	26864.5181232	27531.0729968
BTER	16	27574.1921400	27329.2796074	27819.1046726
BTER	17	28223.8907000	27965.8112651	28481.9701349
BTER	18	28464.4139000	28183.0381140	28745.7896860
BTER	19	28443.3979200	28163.7179280	28723.0779120
BTER	20	28516.7126000	28241.3479019	28792.0772981
