model	gen	abs_mean	abs95d	abs95u
BUGGE	1	10036.4308400	9920.4822016	10152.3794784
BUGGE	2	9954.6477600	9838.4397942	10070.8557258
BUGGE	3	9995.7677200	9884.5635401	10106.9718999
BUGGE	4	9938.7846600	9842.9145582	10034.6547618
BUGGE	5	9967.8495000	9842.8834334	10092.8155666
BUGGE	6	9985.5163200	9864.9962381	10106.0364019
BUGGE	7	10094.5720800	9925.8047484	10263.3394116
BUGGE	8	9972.5836000	9852.1384428	10093.0287572
BUGGE	9	10136.4751000	9995.2684174	10277.6817826
BUGGE	10	10030.0157200	9910.7019785	10149.3294615
BUGGE	11	9989.3208600	9857.0650967	10121.5766233
BUGGE	12	10018.5295000	9898.7521907	10138.3068093
BUGGE	13	9868.3752600	9728.2971807	10008.4533393
BUGGE	14	9944.3599800	9831.8466445	10056.8733155
BUGGE	15	9847.2296600	9719.3359399	9975.1233801
BUGGE	16	9946.8722800	9839.5148972	10054.2296628
BUGGE	17	9871.9493400	9753.1989514	9990.6997286
BUGGE	18	9864.8525200	9735.6623247	9994.0427153
BUGGE	19	9908.6868000	9805.2554897	10012.1181103
BUGGE	20	9956.6875000	9846.4970488	10066.8779512
