model	gen	abs_mean	abs95d	abs95u
CNRG	1	11318.4213000	11174.1259382	11462.7166618
CNRG	2	11756.2415600	11562.8265030	11949.6566170
CNRG	3	12092.1430200	11906.7799471	12277.5060929
CNRG	4	12255.0393000	12073.9912712	12436.0873288
CNRG	5	12386.9022200	12228.4139757	12545.3904643
CNRG	6	12424.2457200	12253.4664918	12595.0249482
CNRG	7	12358.7867200	12197.4342709	12520.1391691
CNRG	8	12272.1743600	12117.3005628	12427.0481572
CNRG	9	12217.2984000	12057.0253583	12377.5714417
CNRG	10	12186.5653200	12035.3020727	12337.8285673
CNRG	11	12088.8574400	11942.5581554	12235.1567246
CNRG	12	11958.2572000	11832.9862404	12083.5281596
CNRG	13	11902.0035200	11786.4693569	12017.5376831
CNRG	14	11849.2014200	11732.4132927	11965.9895473
CNRG	15	11792.4148000	11671.2070417	11913.6225583
CNRG	16	11723.1469600	11606.0633400	11840.2305800
CNRG	17	11662.8161600	11551.1035930	11774.5287270
CNRG	18	11626.2518400	11520.6713112	11731.8323688
CNRG	19	11616.8641000	11499.8216266	11733.9065734
CNRG	20	11585.9785200	11475.3476554	11696.6093846
