model	gen	abs_mean	abs95d	abs95u
BTER	1	18824.8926000	18773.1521566	18876.6330434
BTER	2	18995.4261000	18920.9521071	19069.9000929
BTER	3	19019.9599400	18958.7306295	19081.1892505
BTER	4	18986.4015600	18904.0810640	19068.7220560
BTER	5	18983.6683600	18915.5904547	19051.7462653
BTER	6	18965.5805200	18903.4551831	19027.7058569
BTER	7	18949.7841000	18881.6721170	19017.8960830
BTER	8	18899.5144200	18829.2511680	18969.7776720
BTER	9	18865.0000800	18807.6470369	18922.3531231
BTER	10	18854.6537200	18791.8312812	18917.4761588
BTER	11	18796.6540800	18736.6922028	18856.6159572
BTER	12	18691.3504000	18618.7192745	18763.9815255
BTER	13	18698.4639600	18631.5522188	18765.3757012
BTER	14	18695.7489200	18624.5690456	18766.9287944
BTER	15	18666.8866000	18599.7624780	18734.0107220
BTER	16	18656.4470000	18579.9895631	18732.9044369
BTER	17	18518.1626200	18440.9292045	18595.3960355
BTER	18	18527.6744000	18446.9083164	18608.4404836
BTER	19	18481.0655400	18392.7564945	18569.3745855
BTER	20	18458.1265800	18378.2215021	18538.0316579
