model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	13136.4048200	12997.4087232	13275.4009168
Erdos-Renyi	2	13103.4047000	12944.5243768	13262.2850232
Erdos-Renyi	3	13170.0049400	13031.1793279	13308.8305521
Erdos-Renyi	4	13341.6871600	13203.4911348	13479.8831852
Erdos-Renyi	5	13253.3235200	13071.3852048	13435.2618352
Erdos-Renyi	6	13349.6907200	13172.0852018	13527.2962382
Erdos-Renyi	7	13139.0843600	12949.3772993	13328.7914207
Erdos-Renyi	8	13181.5240800	12975.1890300	13387.8591300
Erdos-Renyi	9	13078.3082800	12878.8116260	13277.8049340
Erdos-Renyi	10	13348.6991400	13172.4910852	13524.9071948
Erdos-Renyi	11	13282.1039200	13076.3448471	13487.8629929
Erdos-Renyi	12	13055.2978000	12857.2431297	13253.3524703
Erdos-Renyi	13	13267.1240600	13044.7155182	13489.5326018
Erdos-Renyi	14	13238.1414800	12984.0865571	13492.1964029
Erdos-Renyi	15	13312.1430200	13075.4263121	13548.8597279
Erdos-Renyi	16	13320.4053200	13088.2272887	13552.5833513
Erdos-Renyi	17	13287.2710200	13055.2995006	13519.2425394
Erdos-Renyi	18	13139.6714600	12887.9168033	13391.4261167
Erdos-Renyi	19	13125.0222000	12899.8310282	13350.2133718
Erdos-Renyi	20	13167.5116000	12929.8595934	13405.1636066
