model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
SBM	1	-0.0000183	-0.0000261	-0.0000105	-0.0000183	-0.0000261	-0.0000105
SBM	2	-0.0000329	-0.0000436	-0.0000223	-0.0000146	-0.0000221	-0.0000071
SBM	3	-0.0000339	-0.0000474	-0.0000204	-0.0000010	-0.0000089	0.0000068
SBM	4	-0.0000424	-0.0000553	-0.0000295	-0.0000084	-0.0000148	-0.0000021
SBM	5	-0.0000561	-0.0000708	-0.0000415	-0.0000138	-0.0000208	-0.0000067
SBM	6	-0.0000638	-0.0000825	-0.0000452	-0.0000077	-0.0000164	0.0000011
SBM	7	-0.0000710	-0.0000923	-0.0000496	-0.0000072	-0.0000151	0.0000008
SBM	8	-0.0000865	-0.0001084	-0.0000646	-0.0000155	-0.0000226	-0.0000085
SBM	9	-0.0000945	-0.0001181	-0.0000709	-0.0000080	-0.0000154	-0.0000006
SBM	10	-0.0001051	-0.0001315	-0.0000787	-0.0000106	-0.0000184	-0.0000027
SBM	11	-0.0001151	-0.0001427	-0.0000875	-0.0000100	-0.0000173	-0.0000028
SBM	12	-0.0001225	-0.0001519	-0.0000932	-0.0000074	-0.0000156	0.0000008
SBM	13	-0.0001260	-0.0001570	-0.0000950	-0.0000035	-0.0000123	0.0000054
SBM	14	-0.0001404	-0.0001710	-0.0001099	-0.0000144	-0.0000230	-0.0000058
SBM	15	-0.0001460	-0.0001798	-0.0001122	-0.0000055	-0.0000145	0.0000034
SBM	16	-0.0001551	-0.0001901	-0.0001200	-0.0000091	-0.0000164	-0.0000018
SBM	17	-0.0001552	-0.0001903	-0.0001201	-0.0000001	-0.0000091	0.0000089
SBM	18	-0.0001615	-0.0001979	-0.0001252	-0.0000064	-0.0000145	0.0000018
SBM	19	-0.0001653	-0.0002015	-0.0001292	-0.0000038	-0.0000126	0.0000050
SBM	20	-0.0001710	-0.0002066	-0.0001354	-0.0000057	-0.0000132	0.0000018
