model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.4299408	0.4276062	0.4322753	0.4299408	0.4276062	0.4322753
GCN_AE	2	0.4759598	0.4731932	0.4787264	0.0460190	0.0424537	0.0495844
GCN_AE	3	0.4765166	0.4742295	0.4788038	0.0005568	-0.0006408	0.0017544
GCN_AE	4	0.4795260	0.4769835	0.4820686	0.0030094	0.0012360	0.0047828
GCN_AE	5	0.4800932	0.4776102	0.4825762	0.0005671	-0.0001127	0.0012470
GCN_AE	6	0.4813612	0.4789556	0.4837669	0.0012681	0.0000356	0.0025005
GCN_AE	7	0.4819906	0.4795353	0.4844459	0.0006294	-0.0001057	0.0013645
GCN_AE	8	0.4821484	0.4795685	0.4847283	0.0001578	-0.0003972	0.0007128
GCN_AE	9	0.4821309	0.4795362	0.4847255	-0.0000175	-0.0001061	0.0000710
GCN_AE	10	0.4821613	0.4795806	0.4847421	0.0000305	-0.0000219	0.0000829
GCN_AE	11	0.4821646	0.4795847	0.4847444	0.0000032	-0.0000035	0.0000099
GCN_AE	12	0.4823776	0.4798018	0.4849534	0.0002130	-0.0002130	0.0006391
GCN_AE	13	0.4826557	0.4800908	0.4852207	0.0002782	-0.0002805	0.0008368
GCN_AE	14	0.4826576	0.4800932	0.4852221	0.0000019	-0.0000019	0.0000057
GCN_AE	15	0.4826564	0.4800916	0.4852212	-0.0000012	-0.0000037	0.0000012
GCN_AE	16	0.4826386	0.4800686	0.4852086	-0.0000178	-0.0000535	0.0000180
GCN_AE	17	0.4826386	0.4800686	0.4852085	-0.0000000	-0.0000001	0.0000000
GCN_AE	18	0.4826386	0.4800686	0.4852085	0.0000000	nan	nan
GCN_AE	19	0.4826386	0.4800686	0.4852085	0.0000000	nan	nan
GCN_AE	20	0.4826386	0.4800686	0.4852085	0.0000000	nan	nan
