model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	-0.0000018	-0.0000093	0.0000056	-0.0000018	-0.0000093	0.0000056
Erdos-Renyi	2	-0.0000033	-0.0000164	0.0000097	-0.0000015	-0.0000115	0.0000085
Erdos-Renyi	3	-0.0000006	-0.0000165	0.0000152	0.0000027	-0.0000058	0.0000112
Erdos-Renyi	4	-0.0000022	-0.0000197	0.0000152	-0.0000016	-0.0000103	0.0000071
Erdos-Renyi	5	-0.0000035	-0.0000220	0.0000151	-0.0000013	-0.0000084	0.0000059
Erdos-Renyi	6	-0.0000035	-0.0000255	0.0000184	-0.0000000	-0.0000094	0.0000093
Erdos-Renyi	7	-0.0000067	-0.0000308	0.0000174	-0.0000032	-0.0000102	0.0000039
Erdos-Renyi	8	-0.0000087	-0.0000360	0.0000187	-0.0000020	-0.0000099	0.0000060
Erdos-Renyi	9	-0.0000088	-0.0000360	0.0000184	-0.0000001	-0.0000088	0.0000086
Erdos-Renyi	10	-0.0000077	-0.0000370	0.0000217	0.0000011	-0.0000070	0.0000091
Erdos-Renyi	11	-0.0000041	-0.0000352	0.0000269	0.0000035	-0.0000044	0.0000114
Erdos-Renyi	12	-0.0000017	-0.0000327	0.0000292	0.0000024	-0.0000058	0.0000106
Erdos-Renyi	13	-0.0000014	-0.0000320	0.0000292	0.0000004	-0.0000091	0.0000099
Erdos-Renyi	14	-0.0000063	-0.0000395	0.0000269	-0.0000049	-0.0000133	0.0000034
Erdos-Renyi	15	-0.0000039	-0.0000375	0.0000296	0.0000023	-0.0000061	0.0000108
Erdos-Renyi	16	-0.0000098	-0.0000479	0.0000283	-0.0000058	-0.0000138	0.0000022
Erdos-Renyi	17	-0.0000127	-0.0000515	0.0000261	-0.0000029	-0.0000130	0.0000072
Erdos-Renyi	18	-0.0000114	-0.0000542	0.0000314	0.0000013	-0.0000064	0.0000091
Erdos-Renyi	19	-0.0000103	-0.0000532	0.0000326	0.0000011	-0.0000076	0.0000098
Erdos-Renyi	20	-0.0000158	-0.0000575	0.0000258	-0.0000055	-0.0000131	0.0000020
