model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	-0.0000216	-0.0000218	-0.0000213	-0.0000216	-0.0000218	-0.0000213
Chung-Lu	2	-0.0000424	-0.0000427	-0.0000420	-0.0000208	-0.0000210	-0.0000205
Chung-Lu	3	-0.0000623	-0.0000627	-0.0000619	-0.0000200	-0.0000202	-0.0000197
Chung-Lu	4	-0.0000814	-0.0000819	-0.0000810	-0.0000191	-0.0000194	-0.0000189
Chung-Lu	5	-0.0000998	-0.0001002	-0.0000994	-0.0000183	-0.0000185	-0.0000181
Chung-Lu	6	-0.0001173	-0.0001178	-0.0001169	-0.0000175	-0.0000178	-0.0000173
Chung-Lu	7	-0.0001343	-0.0001348	-0.0001338	-0.0000170	-0.0000172	-0.0000168
Chung-Lu	8	-0.0001508	-0.0001513	-0.0001503	-0.0000165	-0.0000167	-0.0000163
Chung-Lu	9	-0.0001667	-0.0001673	-0.0001662	-0.0000159	-0.0000162	-0.0000156
Chung-Lu	10	-0.0001818	-0.0001825	-0.0001812	-0.0000151	-0.0000154	-0.0000149
Chung-Lu	11	-0.0001964	-0.0001971	-0.0001957	-0.0000146	-0.0000147	-0.0000144
Chung-Lu	12	-0.0002108	-0.0002115	-0.0002101	-0.0000144	-0.0000147	-0.0000141
Chung-Lu	13	-0.0002244	-0.0002251	-0.0002237	-0.0000136	-0.0000137	-0.0000134
Chung-Lu	14	-0.0002377	-0.0002384	-0.0002370	-0.0000133	-0.0000135	-0.0000132
Chung-Lu	15	-0.0002508	-0.0002515	-0.0002501	-0.0000131	-0.0000132	-0.0000129
Chung-Lu	16	-0.0002635	-0.0002642	-0.0002628	-0.0000127	-0.0000130	-0.0000125
Chung-Lu	17	-0.0002758	-0.0002766	-0.0002750	-0.0000123	-0.0000125	-0.0000121
Chung-Lu	18	-0.0002877	-0.0002885	-0.0002868	-0.0000119	-0.0000121	-0.0000117
Chung-Lu	19	-0.0002994	-0.0003002	-0.0002985	-0.0000117	-0.0000119	-0.0000115
Chung-Lu	20	-0.0003109	-0.0003117	-0.0003100	-0.0000115	-0.0000117	-0.0000113
