model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	-0.0025113	-0.0025284	-0.0024942	-0.0025113	-0.0025284	-0.0024942
Chung-Lu	2	-0.0043940	-0.0044147	-0.0043733	-0.0018827	-0.0018975	-0.0018679
Chung-Lu	3	-0.0059057	-0.0059265	-0.0058849	-0.0015117	-0.0015275	-0.0014958
Chung-Lu	4	-0.0071700	-0.0071934	-0.0071465	-0.0012643	-0.0012784	-0.0012502
Chung-Lu	5	-0.0082604	-0.0082858	-0.0082350	-0.0010904	-0.0011012	-0.0010797
Chung-Lu	6	-0.0092096	-0.0092365	-0.0091828	-0.0009492	-0.0009611	-0.0009373
Chung-Lu	7	-0.0100500	-0.0100766	-0.0100235	-0.0008404	-0.0008504	-0.0008304
Chung-Lu	8	-0.0108043	-0.0108302	-0.0107784	-0.0007543	-0.0007658	-0.0007428
Chung-Lu	9	-0.0114856	-0.0115124	-0.0114588	-0.0006813	-0.0006927	-0.0006699
Chung-Lu	10	-0.0121013	-0.0121274	-0.0120752	-0.0006157	-0.0006268	-0.0006047
Chung-Lu	11	-0.0126818	-0.0127091	-0.0126545	-0.0005805	-0.0005909	-0.0005700
Chung-Lu	12	-0.0132125	-0.0132405	-0.0131845	-0.0005307	-0.0005402	-0.0005212
Chung-Lu	13	-0.0137098	-0.0137390	-0.0136806	-0.0004973	-0.0005080	-0.0004867
Chung-Lu	14	-0.0141718	-0.0142022	-0.0141414	-0.0004620	-0.0004704	-0.0004536
Chung-Lu	15	-0.0146060	-0.0146358	-0.0145762	-0.0004342	-0.0004439	-0.0004244
Chung-Lu	16	-0.0150150	-0.0150440	-0.0149861	-0.0004091	-0.0004163	-0.0004018
Chung-Lu	17	-0.0153907	-0.0154187	-0.0153626	-0.0003756	-0.0003828	-0.0003685
Chung-Lu	18	-0.0157505	-0.0157788	-0.0157222	-0.0003599	-0.0003676	-0.0003521
Chung-Lu	19	-0.0160916	-0.0161196	-0.0160636	-0.0003411	-0.0003489	-0.0003332
Chung-Lu	20	-0.0164139	-0.0164410	-0.0163868	-0.0003223	-0.0003291	-0.0003154
