model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	-0.0002724	-0.0002740	-0.0002708	-0.0002724	-0.0002740	-0.0002708
BTER	2	-0.0004243	-0.0004264	-0.0004222	-0.0001519	-0.0001539	-0.0001500
BTER	3	-0.0005229	-0.0005249	-0.0005209	-0.0000986	-0.0001004	-0.0000969
BTER	4	-0.0005929	-0.0005955	-0.0005903	-0.0000700	-0.0000721	-0.0000679
BTER	5	-0.0006566	-0.0006594	-0.0006538	-0.0000637	-0.0000654	-0.0000620
BTER	6	-0.0007140	-0.0007172	-0.0007108	-0.0000574	-0.0000588	-0.0000560
BTER	7	-0.0007652	-0.0007685	-0.0007618	-0.0000512	-0.0000525	-0.0000498
BTER	8	-0.0008098	-0.0008128	-0.0008068	-0.0000446	-0.0000458	-0.0000435
BTER	9	-0.0008487	-0.0008516	-0.0008458	-0.0000389	-0.0000403	-0.0000375
BTER	10	-0.0008852	-0.0008883	-0.0008821	-0.0000365	-0.0000375	-0.0000355
BTER	11	-0.0009201	-0.0009234	-0.0009169	-0.0000349	-0.0000360	-0.0000339
BTER	12	-0.0009532	-0.0009564	-0.0009500	-0.0000331	-0.0000342	-0.0000320
BTER	13	-0.0009831	-0.0009863	-0.0009799	-0.0000299	-0.0000307	-0.0000291
BTER	14	-0.0010106	-0.0010138	-0.0010075	-0.0000275	-0.0000284	-0.0000267
BTER	15	-0.0010360	-0.0010394	-0.0010326	-0.0000254	-0.0000261	-0.0000246
BTER	16	-0.0010602	-0.0010637	-0.0010566	-0.0000242	-0.0000249	-0.0000235
BTER	17	-0.0010837	-0.0010874	-0.0010800	-0.0000235	-0.0000242	-0.0000229
BTER	18	-0.0011071	-0.0011108	-0.0011034	-0.0000234	-0.0000242	-0.0000226
BTER	19	-0.0011282	-0.0011319	-0.0011244	-0.0000211	-0.0000218	-0.0000203
BTER	20	-0.0011486	-0.0011524	-0.0011447	-0.0000204	-0.0000212	-0.0000196
