model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.0032204	0.0028095	0.0036312	0.0032204	0.0028095	0.0036312
Kronecker	2	0.0079603	0.0073029	0.0086177	0.0047399	0.0043741	0.0051058
Kronecker	3	0.0174499	0.0158421	0.0190578	0.0094896	0.0084867	0.0104925
Kronecker	4	0.0360477	0.0348642	0.0372312	0.0185978	0.0181354	0.0190602
Kronecker	5	0.0692481	0.0635870	0.0749092	0.0332004	0.0287168	0.0376840
Kronecker	6	0.1300849	0.1140762	0.1460936	0.0608368	0.0504880	0.0711856
Kronecker	7	0.2397659	0.2018594	0.2776725	0.1096810	0.0877811	0.1315810
Kronecker	8	0.4412923	0.3943497	0.4882349	0.2015263	0.1921334	0.2109192
Kronecker	9	0.7415166	0.6941238	0.7889093	0.3002243	0.2775490	0.3228996
Kronecker	10	0.8098814	0.8028560	0.8169068	0.0683649	0.0279025	0.1088273
Kronecker	11	0.8228092	0.8214223	0.8241961	0.0129278	0.0054178	0.0204377
Kronecker	12	0.8274241	0.8262414	0.8286068	0.0046149	0.0042195	0.0050103
Kronecker	13	0.8251369	0.8151561	0.8351177	-0.0022872	-0.0132078	0.0086334
Kronecker	14	0.8234069	0.8203163	0.8264976	-0.0017300	-0.0147986	0.0113386
Kronecker	15	0.8279510	0.8256686	0.8302335	0.0045441	0.0037337	0.0053545
Kronecker	16	0.8252934	0.8171192	0.8334676	-0.0026576	-0.0131133	0.0077980
Kronecker	17	0.8235005	0.8192875	0.8277134	-0.0017929	-0.0141723	0.0105864
Kronecker	18	0.8279594	0.8242770	0.8316417	0.0044589	0.0039262	0.0049916
Kronecker	19	0.8256510	0.8177376	0.8335643	-0.0023084	-0.0139022	0.0092854
Kronecker	20	0.8237063	0.8191361	0.8282765	-0.0019447	-0.0144051	0.0105158
