model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	-0.0000005	-0.0000005	-0.0000004	-0.0000005	-0.0000005	-0.0000004
BTER	2	-0.0000009	-0.0000011	-0.0000008	-0.0000005	-0.0000006	-0.0000004
BTER	3	-0.0000014	-0.0000016	-0.0000013	-0.0000005	-0.0000006	-0.0000004
BTER	4	-0.0000019	-0.0000021	-0.0000017	-0.0000005	-0.0000006	-0.0000004
BTER	5	-0.0000024	-0.0000026	-0.0000021	-0.0000005	-0.0000006	-0.0000004
BTER	6	-0.0000028	-0.0000030	-0.0000026	-0.0000005	-0.0000005	-0.0000004
BTER	7	-0.0000033	-0.0000035	-0.0000031	-0.0000005	-0.0000006	-0.0000004
BTER	8	-0.0000037	-0.0000039	-0.0000035	-0.0000004	-0.0000005	-0.0000003
BTER	9	-0.0000041	-0.0000044	-0.0000039	-0.0000004	-0.0000005	-0.0000003
BTER	10	-0.0000047	-0.0000049	-0.0000044	-0.0000005	-0.0000006	-0.0000004
BTER	11	-0.0000051	-0.0000054	-0.0000048	-0.0000004	-0.0000006	-0.0000003
BTER	12	-0.0000055	-0.0000059	-0.0000052	-0.0000004	-0.0000005	-0.0000004
BTER	13	-0.0000059	-0.0000063	-0.0000056	-0.0000004	-0.0000005	-0.0000003
BTER	14	-0.0000064	-0.0000067	-0.0000060	-0.0000004	-0.0000005	-0.0000003
BTER	15	-0.0000068	-0.0000072	-0.0000064	-0.0000005	-0.0000005	-0.0000004
BTER	16	-0.0000072	-0.0000076	-0.0000068	-0.0000004	-0.0000005	-0.0000003
BTER	17	-0.0000076	-0.0000080	-0.0000072	-0.0000004	-0.0000005	-0.0000003
BTER	18	-0.0000081	-0.0000085	-0.0000076	-0.0000004	-0.0000005	-0.0000003
BTER	19	-0.0000085	-0.0000089	-0.0000080	-0.0000004	-0.0000005	-0.0000003
BTER	20	-0.0000089	-0.0000093	-0.0000084	-0.0000004	-0.0000005	-0.0000003
