model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.4450779	0.4400041	0.4501517	0.4450779	0.4400041	0.4501517
GCN_AE	2	0.5797681	0.5429857	0.6165506	0.1346902	0.0950631	0.1743173
GCN_AE	3	0.5401785	0.5150751	0.5652818	-0.0395897	-0.0546449	-0.0245345
GCN_AE	4	0.5270221	0.5044854	0.5495589	-0.0131563	-0.0228427	-0.0034700
GCN_AE	5	0.5260716	0.5019613	0.5501819	-0.0009505	-0.0039093	0.0020082
GCN_AE	6	0.5261648	0.5020926	0.5502370	0.0000932	-0.0000443	0.0002308
GCN_AE	7	0.5264922	0.5025479	0.5504366	0.0003274	-0.0001555	0.0008104
GCN_AE	8	0.5264922	0.5025479	0.5504366	0.0000000	nan	nan
GCN_AE	9	0.5265392	0.5026123	0.5504660	0.0000469	-0.0000223	0.0001161
GCN_AE	10	0.5265392	0.5026123	0.5504660	0.0000000	nan	nan
GCN_AE	11	0.5265392	0.5026123	0.5504660	0.0000000	nan	nan
GCN_AE	12	0.5265392	0.5026123	0.5504660	0.0000000	nan	nan
GCN_AE	13	0.5265392	0.5026123	0.5504660	0.0000000	nan	nan
GCN_AE	14	0.5265392	0.5026123	0.5504660	0.0000000	nan	nan
GCN_AE	15	0.5265371	0.5026118	0.5504623	-0.0000021	-0.0000067	0.0000025
GCN_AE	16	0.5265624	0.5026177	0.5505070	0.0000253	-0.0000299	0.0000806
GCN_AE	17	0.5265667	0.5026187	0.5505147	0.0000043	-0.0000051	0.0000137
GCN_AE	18	0.5265670	0.5026188	0.5505151	0.0000002	-0.0000003	0.0000008
GCN_AE	19	0.5265670	0.5026188	0.5505151	0.0000000	nan	nan
GCN_AE	20	0.5265617	0.5026185	0.5505048	-0.0000053	-0.0000168	0.0000062
