model	gen	abs_mean	abs95d	abs95u
BTER	1	0.3260200	0.3229039	0.3291361
BTER	2	0.3254800	0.3221216	0.3288384
BTER	3	0.3260600	0.3222284	0.3298916
BTER	4	0.3250400	0.3216534	0.3284266
BTER	5	0.3255000	0.3215707	0.3294293
BTER	6	0.3224600	0.3184527	0.3264673
BTER	7	0.3223800	0.3176502	0.3271098
BTER	8	0.3247600	0.3197659	0.3297541
BTER	9	0.3232200	0.3185219	0.3279181
BTER	10	0.3196400	0.3144294	0.3248506
BTER	11	0.3213000	0.3155560	0.3270440
BTER	12	0.3181200	0.3128409	0.3233991
BTER	13	0.3207400	0.3153717	0.3261083
BTER	14	0.3183200	0.3125035	0.3241365
BTER	15	0.3190600	0.3124773	0.3256427
BTER	16	0.3164200	0.3101303	0.3227097
BTER	17	0.3140000	0.3078390	0.3201610
BTER	18	0.3149800	0.3085777	0.3213823
BTER	19	0.3120400	0.3050820	0.3189980
BTER	20	0.3082000	0.3011762	0.3152238
