model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	1.8349800	1.8040802	1.8658798
Erdos-Renyi	2	1.8534800	1.8134942	1.8934658
Erdos-Renyi	3	1.8051600	1.7756750	1.8346450
Erdos-Renyi	4	1.8239800	1.7844025	1.8635575
Erdos-Renyi	5	1.8650800	1.8198621	1.9102979
Erdos-Renyi	6	1.8639200	1.8124787	1.9153613
Erdos-Renyi	7	1.8235000	1.7827203	1.8642797
Erdos-Renyi	8	1.8746400	1.8220556	1.9272244
Erdos-Renyi	9	1.8198600	1.7750478	1.8646722
Erdos-Renyi	10	1.8542000	1.8040097	1.9043903
Erdos-Renyi	11	1.8283200	1.7751376	1.8815024
Erdos-Renyi	12	1.8271600	1.7773299	1.8769901
Erdos-Renyi	13	1.8424600	1.7900177	1.8949023
Erdos-Renyi	14	1.8482000	1.7947119	1.9016881
Erdos-Renyi	15	1.8334000	1.7825380	1.8842620
Erdos-Renyi	16	1.8443000	1.7902660	1.8983340
Erdos-Renyi	17	1.8534600	1.7962895	1.9106305
Erdos-Renyi	18	1.8433400	1.7820695	1.9046105
Erdos-Renyi	19	1.8569600	1.8050903	1.9088297
Erdos-Renyi	20	1.8415800	1.7892475	1.8939125
