model	gen	abs_mean	abs95d	abs95u
GraphRNN	1	1.7335200	1.4926515	1.9743885
GraphRNN	2	0.7684200	0.7525780	0.7842620
GraphRNN	3	1.8743000	1.6612841	2.0873159
GraphRNN	4	0.0030600	0.0028747	0.0032453
GraphRNN	5	1.1972041	1.0242504	1.3701578
GraphRNN	6	0.9120000	0.7803943	1.0436057
GraphRNN	7	1.5884600	1.4017423	1.7751777
GraphRNN	8	0.6792800	0.6701245	0.6884355
GraphRNN	9	1.3033000	1.1711649	1.4354351
GraphRNN	10	0.6882200	0.6799697	0.6964703
GraphRNN	11	1.5245600	1.3371833	1.7119367
GraphRNN	12	0.6826000	0.6761247	0.6890753
