model	gen	abs_mean	abs95d	abs95u
BTER	1	24.0506200	23.9105683	24.1906717
BTER	2	35.9760600	35.7969682	36.1551518
BTER	3	41.7640200	41.5631063	41.9649337
BTER	4	44.7540200	44.5745028	44.9335372
BTER	5	46.7397400	46.5685559	46.9109241
BTER	6	48.6989800	48.5758158	48.8221442
BTER	7	50.0782000	49.9775553	50.1788447
BTER	8	51.0583600	50.9807116	51.1360084
BTER	9	51.7728000	51.7053958	51.8402042
BTER	10	52.4040600	52.3383886	52.4697314
BTER	11	53.0123000	52.9525348	53.0720652
BTER	12	53.5080600	53.4586125	53.5575075
BTER	13	53.8749400	53.8220853	53.9277947
BTER	14	54.2592400	54.2113266	54.3071534
BTER	15	54.6490400	54.6024689	54.6956111
BTER	16	54.9912000	54.9481077	55.0342923
BTER	17	55.2847200	55.2393849	55.3300551
BTER	18	55.5654800	55.5220680	55.6088920
BTER	19	55.8618400	55.8185236	55.9051564
BTER	20	56.1378000	56.0930308	56.1825692
