model	gen	abs_mean	abs95d	abs95u
Kronecker	1	18.9392200	14.3358922	23.5425478
Kronecker	2	40.4188400	30.7567152	50.0809648
Kronecker	3	66.2048200	50.7427418	81.6668982
Kronecker	4	98.3736600	75.9823267	120.7649933
Kronecker	5	131.7617600	103.0140135	160.5095065
Kronecker	6	144.1316000	114.0433679	174.2198321
Kronecker	7	145.5799800	115.3463819	175.8135781
Kronecker	8	145.8178200	115.5493226	176.0863174
Kronecker	9	145.8026200	115.5464996	176.0587404
Kronecker	10	145.8721600	115.6035947	176.1407253
Kronecker	11	148.3417959	117.8289003	178.8546915
Kronecker	12	150.7519792	120.0459085	181.4580499
Kronecker	13	153.3528723	122.4482148	184.2575299
Kronecker	14	156.2006087	125.0843763	187.3168411
Kronecker	15	159.1873778	127.8802032	190.4945523
Kronecker	16	162.1236818	130.6962698	193.5510939
Kronecker	17	165.1081628	133.6166283	196.5996973
Kronecker	18	165.0699302	133.5870198	196.5528407
Kronecker	19	165.3172093	133.7781302	196.8562884
Kronecker	20	165.2646279	133.7371712	196.7920846
