model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	123.2759400	122.8873434	123.6645366
Linear_AE	2	126.3878200	125.9767990	126.7988410
Linear_AE	3	127.2109800	126.7320643	127.6898957
Linear_AE	4	127.8228400	127.3184370	128.3272430
Linear_AE	5	128.6800800	128.1297994	129.2303606
Linear_AE	6	129.6557200	129.0447695	130.2666705
Linear_AE	7	129.2781000	128.6826476	129.8735524
Linear_AE	8	128.3961600	127.7348340	129.0574860
Linear_AE	9	127.6461400	127.0822820	128.2099980
Linear_AE	10	127.5242400	126.9661940	128.0822860
Linear_AE	11	127.2615800	126.7366201	127.7865399
Linear_AE	12	127.2214400	126.6686051	127.7742749
Linear_AE	13	127.2131400	126.6599609	127.7663191
Linear_AE	14	127.2287600	126.6708020	127.7867180
Linear_AE	15	127.2460000	126.6864571	127.8055429
Linear_AE	16	127.2310400	126.6743487	127.7877313
Linear_AE	17	127.9227600	126.4529921	129.3925279
Linear_AE	18	127.2114200	126.6428134	127.7800266
Linear_AE	19	127.2202400	126.6456095	127.7948705
Linear_AE	20	127.2236400	126.6480905	127.7991895
