model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	0.4224800	0.3977229	0.4472371
Erdos-Renyi	2	0.4292800	0.3981476	0.4604124
Erdos-Renyi	3	0.4448400	0.4147129	0.4749671
Erdos-Renyi	4	0.4330400	0.4059034	0.4601766
Erdos-Renyi	5	0.4408000	0.4104053	0.4711947
Erdos-Renyi	6	0.4130200	0.3855056	0.4405344
Erdos-Renyi	7	0.4444800	0.4100333	0.4789267
Erdos-Renyi	8	0.4272400	0.3958527	0.4586273
Erdos-Renyi	9	0.4379000	0.4049391	0.4708609
Erdos-Renyi	10	0.4099800	0.3754633	0.4444967
Erdos-Renyi	11	0.4155600	0.3815264	0.4495936
Erdos-Renyi	12	0.4632800	0.4228108	0.5037492
Erdos-Renyi	13	0.4106600	0.3714498	0.4498702
Erdos-Renyi	14	0.4213200	0.3858494	0.4567906
Erdos-Renyi	15	0.4098600	0.3691313	0.4505887
Erdos-Renyi	16	0.4207000	0.3886344	0.4527656
Erdos-Renyi	17	0.4261800	0.3862936	0.4660664
Erdos-Renyi	18	0.4182200	0.3825047	0.4539353
Erdos-Renyi	19	0.4226200	0.3852288	0.4600112
Erdos-Renyi	20	0.3957200	0.3578279	0.4336121
