model	gen	abs_mean	abs95d	abs95u
GCN_AE	1	24.2977692	24.0658797	24.5296587
GCN_AE	2	32.1393077	29.8588345	34.4197809
GCN_AE	3	29.9096923	28.1966723	31.6227123
GCN_AE	4	29.1374615	27.5499241	30.7249990
GCN_AE	5	29.0425385	27.4049629	30.6801140
GCN_AE	6	29.0459231	27.4096720	30.6821741
GCN_AE	7	29.0577692	27.4260421	30.6894964
GCN_AE	8	29.0577692	27.4260421	30.6894964
GCN_AE	9	29.0594615	27.4283664	30.6905567
GCN_AE	10	29.0594615	27.4283664	30.6905567
GCN_AE	11	29.0594615	27.4283664	30.6905567
GCN_AE	12	29.0594615	27.4283664	30.6905567
GCN_AE	13	29.0594615	27.4283664	30.6905567
GCN_AE	14	29.0594615	27.4283664	30.6905567
GCN_AE	15	29.0594615	27.4283664	30.6905567
GCN_AE	16	29.0603077	27.4286176	30.6919978
GCN_AE	17	29.0606154	27.4287085	30.6925223
GCN_AE	18	29.0606154	27.4287085	30.6925223
GCN_AE	19	29.0606154	27.4287085	30.6925223
GCN_AE	20	29.0606154	27.4287085	30.6925223
