model	gen	abs_mean	abs95d	abs95u
Kronecker	1	0.0387200	0.0369788	0.0404612
Kronecker	2	0.1112800	0.1032666	0.1192934
Kronecker	3	0.2800000	0.2610529	0.2989471
Kronecker	4	0.6124400	0.5769199	0.6479601
Kronecker	5	1.2600800	1.1772512	1.3429088
Kronecker	6	2.5236000	2.3733833	2.6738167
Kronecker	7	4.4796400	4.1992534	4.7600266
Kronecker	8	7.7858800	7.2818963	8.2898637
Kronecker	9	13.4812400	12.5811770	14.3813030
Kronecker	10	23.5708000	22.0817223	25.0598777
Kronecker	11	35.2454400	34.7218701	35.7690099
Kronecker	12	37.2563200	37.1609688	37.3516712
Kronecker	13	37.4872727	37.4190471	37.5554983
