model	gen	abs_mean	abs95d	abs95u
BTER	1	0.4691383	0.4464550	0.4918217
BTER	2	0.4416110	0.4113473	0.4718748
BTER	3	0.4335292	0.4027210	0.4643373
BTER	4	0.4494987	0.4219166	0.4770808
BTER	5	0.4311961	0.3963789	0.4660133
BTER	6	0.4139614	0.3794804	0.4484424
BTER	7	0.4369853	0.4068494	0.4671212
BTER	8	0.4429276	0.4111455	0.4747097
BTER	9	0.3937384	0.3536257	0.4338511
BTER	10	0.4174780	0.3838930	0.4510630
BTER	11	0.4143033	0.3781438	0.4504627
BTER	12	0.4437988	0.4141475	0.4734500
BTER	13	0.4319830	0.4012215	0.4627445
BTER	14	0.3840805	0.3454029	0.4227581
BTER	15	0.3827536	0.3432535	0.4222537
BTER	16	0.3932985	0.3542199	0.4323770
BTER	17	0.3713244	0.3368551	0.4057937
BTER	18	0.3694630	0.3311740	0.4077520
BTER	19	0.4059311	0.3699414	0.4419208
BTER	20	0.4039999	0.3690824	0.4389175
