model	gen	abs_mean	abs95d	abs95u
SBM	1	0.1899422	0.1854592	0.1944253
SBM	2	0.1945956	0.1913323	0.1978589
SBM	3	0.1944813	0.1913018	0.1976608
SBM	4	0.1966622	0.1938717	0.1994528
SBM	5	0.1978143	0.1951387	0.2004899
SBM	6	0.1985708	0.1955594	0.2015822
SBM	7	0.1988513	0.1961459	0.2015567
SBM	8	0.1988580	0.1965324	0.2011837
SBM	9	0.2014361	0.1993897	0.2034825
SBM	10	0.2017870	0.1996837	0.2038903
SBM	11	0.2026516	0.2008891	0.2044140
SBM	12	0.2033364	0.2015361	0.2051368
SBM	13	0.2021296	0.1999087	0.2043505
SBM	14	0.2036556	0.2018366	0.2054746
SBM	15	0.2042191	0.2022763	0.2061620
SBM	16	0.2043489	0.2026887	0.2060090
SBM	17	0.2049034	0.2035371	0.2062696
SBM	18	0.2041410	0.2023563	0.2059258
SBM	19	0.2051847	0.2034997	0.2068696
SBM	20	0.2061678	0.2043823	0.2079532
