model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	0.5756144	0.5749927	0.5762361
Erdos-Renyi	2	0.5758856	0.5751160	0.5766552
Erdos-Renyi	3	0.5762521	0.5754351	0.5770691
Erdos-Renyi	4	0.5755737	0.5745926	0.5765547
Erdos-Renyi	5	0.5756480	0.5746876	0.5766084
Erdos-Renyi	6	0.5756545	0.5745765	0.5767325
Erdos-Renyi	7	0.5756982	0.5744047	0.5769916
Erdos-Renyi	8	0.5759316	0.5745099	0.5773533
Erdos-Renyi	9	0.5753692	0.5739172	0.5768212
Erdos-Renyi	10	0.5753276	0.5737807	0.5768744
Erdos-Renyi	11	0.5755172	0.5740486	0.5769857
Erdos-Renyi	12	0.5757079	0.5740170	0.5773988
Erdos-Renyi	13	0.5755218	0.5738904	0.5771532
Erdos-Renyi	14	0.5753576	0.5736511	0.5770641
Erdos-Renyi	15	0.5758563	0.5741150	0.5775976
Erdos-Renyi	16	0.5753227	0.5733613	0.5772841
Erdos-Renyi	17	0.5752028	0.5732878	0.5771178
Erdos-Renyi	18	0.5750857	0.5729478	0.5772235
Erdos-Renyi	19	0.5754069	0.5732219	0.5775920
Erdos-Renyi	20	0.5751206	0.5730208	0.5772203
