model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	0.0000000	nan	nan	0.0000000	nan	nan
BTER	2	0.0000000	nan	nan	0.0000000	nan	nan
BTER	3	0.0000000	nan	nan	0.0000000	nan	nan
BTER	4	0.0000000	nan	nan	0.0000000	nan	nan
BTER	5	0.0000000	nan	nan	0.0000000	nan	nan
BTER	6	0.0000000	nan	nan	0.0000000	nan	nan
BTER	7	0.0000000	nan	nan	0.0000000	nan	nan
BTER	8	0.0000000	nan	nan	0.0000000	nan	nan
BTER	9	0.0000000	nan	nan	0.0000000	nan	nan
BTER	10	0.0000000	nan	nan	0.0000000	nan	nan
BTER	11	0.0000000	nan	nan	0.0000000	nan	nan
BTER	12	0.0000000	nan	nan	0.0000000	nan	nan
BTER	13	0.0000000	nan	nan	0.0000000	nan	nan
BTER	14	0.0000000	nan	nan	0.0000000	nan	nan
BTER	15	0.0000000	nan	nan	0.0000000	nan	nan
BTER	16	0.0000000	nan	nan	0.0000000	nan	nan
BTER	17	0.0000000	nan	nan	0.0000000	nan	nan
BTER	18	0.0000000	nan	nan	0.0000000	nan	nan
BTER	19	0.0000000	nan	nan	0.0000000	nan	nan
BTER	20	0.0000000	nan	nan	0.0000000	nan	nan
