model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
CNRG	1	-0.5400000	-2.2042944	1.1242944	-0.5400000	-2.2042944	1.1242944
CNRG	2	-1.4000000	-3.5908715	0.7908715	-0.8600000	-2.5051687	0.7851687
CNRG	3	-0.4800000	-2.9907729	2.0307729	0.9200000	-0.6626953	2.5026953
CNRG	4	-1.6800000	-4.4529463	1.0929463	-1.2000000	-2.9845338	0.5845338
CNRG	5	-0.3200000	-3.4292153	2.7892153	1.3600000	-0.2545763	2.9745763
CNRG	6	0.1200000	-3.2945357	3.5345357	0.4400000	-1.0803542	1.9603542
CNRG	7	-1.8400000	-5.5880928	1.9080928	-1.9600000	-3.5027402	-0.4172598
CNRG	8	-2.2000000	-6.3091880	1.9091880	-0.3600000	-1.8359040	1.1159040
CNRG	9	-1.4000000	-5.6623728	2.8623728	0.8000000	-0.6994377	2.2994377
CNRG	10	-1.3600000	-5.8284449	3.1084449	0.0400000	-1.4538869	1.5338869
CNRG	11	-1.7200000	-6.3494313	2.9094313	-0.3600000	-1.9067949	1.1867949
CNRG	12	-1.9600000	-6.9985858	3.0785858	-0.2400000	-1.7801738	1.3001738
CNRG	13	-2.6800000	-8.0037886	2.6437886	-0.7200000	-2.3851162	0.9451162
CNRG	14	-2.7800000	-8.4776345	2.9176345	-0.1000000	-1.7603678	1.5603678
CNRG	15	-4.6000000	-10.5328156	1.3328156	-1.8200000	-3.6281073	-0.0118927
CNRG	16	-6.3800000	-12.5684397	-0.1915603	-1.7800000	-3.2283175	-0.3316825
CNRG	17	-6.2600000	-12.4582657	-0.0617343	0.1200000	-1.5217888	1.7617888
CNRG	18	-6.5800000	-13.0731591	-0.0868409	-0.3200000	-1.7966632	1.1566632
CNRG	19	-8.6000000	-15.0513695	-2.1486305	-2.0200000	-3.5824129	-0.4575871
CNRG	20	-7.9800000	-14.6292818	-1.3307182	0.6200000	-0.7202649	1.9602649
