model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
HRG	1	0.1800000	-0.0077263	0.3677263	0.1800000	-0.0077263	0.3677263
HRG	2	0.8000000	0.3552542	1.2447458	0.6200000	0.2185363	1.0214637
HRG	3	0.8800000	0.4292170	1.3307830	0.0800000	-0.0463162	0.2063162
HRG	4	1.1600000	0.6111998	1.7088002	0.2800000	-0.0185655	0.5785655
HRG	5	1.1600000	0.6111998	1.7088002	0.0000000	nan	nan
HRG	6	1.1800000	0.6242457	1.7357543	0.0200000	-0.0201915	0.0601915
HRG	7	1.3000000	0.7137616	1.8862384	0.1200000	-0.0582686	0.2982686
HRG	8	1.3000000	0.7137616	1.8862384	0.0000000	nan	nan
HRG	9	1.3000000	0.7137616	1.8862384	0.0000000	nan	nan
HRG	10	1.3000000	0.7137616	1.8862384	0.0000000	nan	nan
HRG	11	1.4000000	0.8088616	1.9911384	0.1000000	-0.0649162	0.2649162
HRG	12	1.4000000	0.8088616	1.9911384	0.0000000	nan	nan
HRG	13	1.4000000	0.8088616	1.9911384	0.0000000	nan	nan
HRG	14	1.4800000	0.8826483	2.0773517	0.0800000	-0.0807660	0.2407660
HRG	15	1.4800000	0.8826483	2.0773517	0.0000000	nan	nan
HRG	16	1.4800000	0.8826483	2.0773517	0.0000000	nan	nan
HRG	17	1.5000000	0.9026207	2.0973793	0.0200000	-0.0201915	0.0601915
HRG	18	1.5000000	0.9026207	2.0973793	0.0000000	nan	nan
HRG	19	1.5000000	0.9026207	2.0973793	0.0000000	nan	nan
HRG	20	1.5000000	0.9026207	2.0973793	0.0000000	nan	nan
