model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
CNRG	1	-4.7400000	-9.5905199	0.1105199	-4.7400000	-9.5905199	0.1105199
CNRG	2	-3.3400000	-9.7095015	3.0295015	1.4000000	-3.3921230	6.1921230
CNRG	3	-2.2400000	-11.0323218	6.5523218	1.1000000	-4.2035664	6.4035664
CNRG	4	0.6400000	-10.2289721	11.5089721	2.8800000	-2.3454130	8.1054130
CNRG	5	-0.0400000	-11.5015861	11.4215861	-0.6800000	-5.1220584	3.7620584
CNRG	6	1.8200000	-9.8923462	13.5323462	1.8600000	-2.6004145	6.3204145
CNRG	7	3.3000000	-9.5491324	16.1491324	1.4800000	-3.6766992	6.6366992
CNRG	8	2.9800000	-11.3050995	17.2650995	-0.3200000	-5.6976982	5.0576982
CNRG	9	2.7000000	-12.7227268	18.1227268	-0.2800000	-5.3680941	4.8080941
CNRG	10	2.4800000	-13.3489563	18.3089563	-0.2200000	-5.3217629	4.8817629
CNRG	11	4.2400000	-12.7029626	21.1829626	1.7600000	-3.0611210	6.5811210
CNRG	12	6.1600000	-11.4179045	23.7379045	1.9200000	-2.9613561	6.8013561
CNRG	13	5.0800000	-13.2071878	23.3671878	-1.0800000	-5.8834056	3.7234056
CNRG	14	4.7000000	-13.8845968	23.2845968	-0.3800000	-5.3972536	4.6372536
CNRG	15	2.4800000	-15.4802648	20.4402648	-2.2200000	-6.7250100	2.2850100
CNRG	16	2.4200000	-16.4586680	21.2986680	-0.0600000	-5.2568725	5.1368725
CNRG	17	2.7400000	-16.9299531	22.4099531	0.3200000	-4.9761612	5.6161612
CNRG	18	-0.0800000	-20.0668450	19.9068450	-2.8200000	-7.7929693	2.1529693
CNRG	19	-1.4200000	-22.1929370	19.3529370	-1.3400000	-6.6178198	3.9378198
CNRG	20	-3.8000000	-25.4053705	17.8053705	-2.3800000	-7.6629018	2.9029018
