model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.0548834	0.0577445	0.0520223	0.0548834	0.0577445	0.0520223
BUGGE	2	0.0552478	0.0582830	0.0522126	0.0126093	0.0161759	0.0090428
BUGGE	3	0.0482507	0.0514341	0.0450673	0.0104227	0.0133154	0.0075300
BUGGE	4	0.0446064	0.0479445	0.0412684	0.0161808	0.0213189	0.0110426
BUGGE	5	0.0428571	0.0467634	0.0389509	0.0172012	0.0214031	0.0129992
BUGGE	6	0.0426385	0.0454588	0.0398182	0.0138484	0.0169868	0.0107100
BUGGE	7	0.0473032	0.0523615	0.0422449	0.0158892	0.0203757	0.0114027
BUGGE	8	0.0410350	0.0433773	0.0386927	0.0157434	0.0200446	0.0114423
BUGGE	9	0.0426385	0.0454118	0.0398652	0.0147230	0.0179031	0.0115430
BUGGE	10	0.0448251	0.0482019	0.0414482	0.0100583	0.0125153	0.0076014
BUGGE	11	0.0494898	0.0551163	0.0438633	0.0158892	0.0204962	0.0112822
BUGGE	12	0.0459913	0.0492260	0.0427565	0.0151603	0.0188858	0.0114349
BUGGE	13	0.0459184	0.0487121	0.0431247	0.0135569	0.0162708	0.0108429
BUGGE	14	0.0434402	0.0459560	0.0409244	0.0104227	0.0130618	0.0077837
BUGGE	15	0.0489796	0.0532247	0.0447344	0.0141399	0.0170861	0.0111938
BUGGE	16	0.0439504	0.0468001	0.0411008	0.0168367	0.0215143	0.0121591
BUGGE	17	0.0470845	0.0512655	0.0429035	0.0132653	0.0159794	0.0105512
BUGGE	18	0.0452624	0.0490280	0.0414968	0.0134840	0.0168686	0.0100993
BUGGE	19	0.0451895	0.0483203	0.0420587	0.0159621	0.0198464	0.0120778
BUGGE	20	0.0477405	0.0524447	0.0430363	0.0177114	0.0216620	0.0137607
