model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.1188676	0.1250790	0.1126562	0.1188676	0.1250790	0.1126562
Erdos-Renyi	2	0.1182767	0.1246716	0.1118819	0.0050924	0.0066151	0.0035697
Erdos-Renyi	3	0.1153110	0.1216233	0.1089987	0.0051285	0.0065146	0.0037424
Erdos-Renyi	4	0.1160905	0.1221196	0.1100614	0.0053661	0.0066937	0.0040384
Erdos-Renyi	5	0.1187197	0.1248291	0.1126102	0.0043992	0.0056401	0.0031584
Erdos-Renyi	6	0.1159366	0.1221736	0.1096996	0.0045447	0.0059806	0.0031088
Erdos-Renyi	7	0.1157153	0.1220487	0.1093819	0.0046172	0.0059675	0.0032668
Erdos-Renyi	8	0.1208367	0.1268742	0.1147991	0.0057126	0.0070294	0.0043957
Erdos-Renyi	9	0.1195583	0.1252877	0.1138289	0.0038697	0.0050369	0.0027024
Erdos-Renyi	10	0.1157495	0.1219055	0.1095934	0.0043074	0.0055256	0.0030892
Erdos-Renyi	11	0.1167013	0.1227328	0.1106699	0.0058944	0.0071579	0.0046309
Erdos-Renyi	12	0.1121022	0.1184246	0.1057797	0.0054753	0.0068877	0.0040628
Erdos-Renyi	13	0.1150930	0.1213769	0.1088091	0.0048179	0.0061859	0.0034499
Erdos-Renyi	14	0.1176877	0.1239138	0.1114615	0.0055847	0.0070355	0.0041339
Erdos-Renyi	15	0.1200328	0.1262571	0.1138085	0.0048000	0.0061528	0.0034472
Erdos-Renyi	16	0.1118464	0.1180200	0.1056727	0.0052747	0.0066321	0.0039172
Erdos-Renyi	17	0.1203266	0.1266890	0.1139642	0.0054027	0.0067700	0.0040353
Erdos-Renyi	18	0.1145534	0.1209132	0.1081936	0.0063888	0.0077473	0.0050303
Erdos-Renyi	19	0.1183542	0.1245435	0.1121650	0.0036142	0.0048340	0.0023945
Erdos-Renyi	20	0.1167765	0.1230178	0.1105352	0.0030848	0.0043380	0.0018315
