model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.0147959	0.0154904	0.0141014	0.0147959	0.0154904	0.0141014
BTER	2	0.0185860	0.0192135	0.0179585	0.0124636	0.0132779	0.0116493
BTER	3	0.0319971	0.0328336	0.0311606	0.0063411	0.0069055	0.0057767
BTER	4	0.0341837	0.0348458	0.0335215	0.0024052	0.0031714	0.0016391
BTER	5	0.0358601	0.0366699	0.0350502	0.0024781	0.0032390	0.0017172
BTER	6	0.0344752	0.0353771	0.0335733	0.0025510	0.0032132	0.0018888
BTER	7	0.0328717	0.0334992	0.0322442	0.0016035	0.0021980	0.0010090
BTER	8	0.0341837	0.0351201	0.0332472	0.0010933	0.0015710	0.0010000
BTER	9	0.0376822	0.0385471	0.0368173	0.0018950	0.0024531	0.0013370
BTER	10	0.0397230	0.0403729	0.0390731	0.0018950	0.0026235	0.0011666
BTER	11	0.0395773	0.0399874	0.0391671	0.0010000	0.0010000	0.0010000
BTER	12	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	13	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	14	0.0394315	0.0397246	0.0391384	0.0010000	0.0010000	0.0010000
BTER	15	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	16	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	17	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	18	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	19	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	20	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
