model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.0213557	0.0215022	0.0212091	0.0213557	0.0215022	0.0212091
Chung-Lu	2	0.0298834	0.0306861	0.0290807	0.0043003	0.0047180	0.0038826
Chung-Lu	3	0.0427114	0.0430045	0.0424183	0.0064140	0.0068317	0.0059963
Chung-Lu	4	0.0428571	0.0428571	0.0428571	0.0010000	0.0010000	0.0010000
Chung-Lu	5	0.0559767	0.0584928	0.0534605	0.0032070	0.0039092	0.0025048
Chung-Lu	6	0.0678571	0.0678571	0.0678571	0.0075073	0.0082095	0.0068051
Chung-Lu	7	0.0678571	0.0678571	0.0678571	0.0010000	0.0010000	0.0010000
Chung-Lu	8	0.0678571	0.0678571	0.0678571	0.0010000	0.0010000	0.0010000
Chung-Lu	9	0.0678571	0.0678571	0.0678571	0.0010000	0.0010000	0.0010000
Chung-Lu	10	0.0785714	0.0785714	0.0785714	0.0035714	0.0035714	0.0035714
Chung-Lu	11	0.0785714	0.0785714	0.0785714	0.0010000	0.0010000	0.0010000
Chung-Lu	12	0.0919825	0.0929764	0.0909886	0.0033528	0.0036013	0.0031043
Chung-Lu	13	0.0928571	0.0928571	0.0928571	0.0010000	0.0010000	0.0010000
Chung-Lu	14	0.1041545	0.1066528	0.1016562	0.0022595	0.0027591	0.0017598
Chung-Lu	15	0.1107143	0.1107143	0.1107143	0.0013120	0.0018116	0.0010000
Chung-Lu	16	0.1107143	0.1107143	0.1107143	0.0010000	0.0010000	0.0010000
Chung-Lu	17	0.1109329	0.1113726	0.1104933	0.0010000	0.0010000	0.0010000
Chung-Lu	18	0.1142128	0.1156710	0.1127547	0.0010933	0.0015710	0.0010000
Chung-Lu	19	0.1212099	0.1216496	0.1207703	0.0023324	0.0028257	0.0018390
Chung-Lu	20	0.1214286	0.1214286	0.1214286	0.0010000	0.0010000	0.0010000
