model	gen	abs_mean	abs95d	abs95u
CNRG	1	0.0294517	0.0289201	0.0299832
CNRG	2	0.0428863	0.0425507	0.0432219
CNRG	3	0.0497038	0.0494824	0.0499252
CNRG	4	0.0534897	0.0533379	0.0536414
CNRG	5	0.0557813	0.0556662	0.0558965
CNRG	6	0.0573112	0.0572300	0.0573925
CNRG	7	0.0583897	0.0583316	0.0584478
CNRG	8	0.0591759	0.0591280	0.0592238
CNRG	9	0.0597640	0.0597144	0.0598136
CNRG	10	0.0602348	0.0601863	0.0602832
CNRG	11	0.0606064	0.0605631	0.0606497
CNRG	12	0.0609366	0.0608903	0.0609829
CNRG	13	0.0612070	0.0611584	0.0612555
CNRG	14	0.0614360	0.0613911	0.0614809
CNRG	15	0.0616522	0.0616046	0.0616997
CNRG	16	0.0618415	0.0617921	0.0618910
CNRG	17	0.0620032	0.0619536	0.0620527
CNRG	18	0.0621394	0.0620896	0.0621892
CNRG	19	0.0622608	0.0622097	0.0623119
CNRG	20	0.0623783	0.0623278	0.0624288
