model	gen	abs_mean	abs95d	abs95u
Kronecker	1	0.0036100	0.0035713	0.0036486
Kronecker	2	0.0101885	0.0100592	0.0103179
Kronecker	3	0.0221307	0.0220113	0.0222501
Kronecker	4	0.0355297	0.0354075	0.0356519
Kronecker	5	0.0341173	0.0338460	0.0343887
Kronecker	6	0.0210378	0.0209904	0.0210853
Kronecker	7	0.0202764	0.0202692	0.0202835
Kronecker	8	0.0202269	0.0202235	0.0202303
Kronecker	9	0.0202099	0.0202075	0.0202124
Kronecker	10	0.0201996	0.0201968	0.0202024
Kronecker	11	0.0201938	0.0201913	0.0201963
Kronecker	12	0.0201921	0.0201901	0.0201940
Kronecker	13	0.0201917	0.0201896	0.0201938
Kronecker	14	0.0201916	0.0201894	0.0201938
Kronecker	15	0.0201905	0.0201881	0.0201929
Kronecker	16	0.0201917	0.0201889	0.0201944
Kronecker	17	0.0201943	0.0201919	0.0201967
Kronecker	18	0.0201941	0.0201920	0.0201962
Kronecker	19	0.0201933	0.0201912	0.0201954
Kronecker	20	0.0201934	0.0201911	0.0201957
