model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.0741625	0.0733340	0.0749910
BUGGE	2	0.0763345	0.0757765	0.0768925
BUGGE	3	0.0750957	0.0745018	0.0756896
BUGGE	4	0.0718123	0.0703969	0.0732276
BUGGE	5	0.0714927	0.0704067	0.0725787
BUGGE	6	0.0715627	0.0705105	0.0726150
BUGGE	7	0.0713036	0.0696681	0.0729391
BUGGE	8	0.0730445	0.0720612	0.0740278
BUGGE	9	0.0732010	0.0718528	0.0745492
BUGGE	10	0.0739804	0.0730777	0.0748832
BUGGE	11	0.0742580	0.0734229	0.0750931
BUGGE	12	0.0744480	0.0734722	0.0754239
BUGGE	13	0.0750486	0.0744323	0.0756649
BUGGE	14	0.0747113	0.0738636	0.0755590
BUGGE	15	0.0749753	0.0741000	0.0758506
BUGGE	16	0.0754270	0.0748754	0.0759787
BUGGE	17	0.0751911	0.0744859	0.0758963
BUGGE	18	0.0748057	0.0740162	0.0755951
BUGGE	19	0.0753384	0.0746304	0.0760464
BUGGE	20	0.0750209	0.0741191	0.0759227
