model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	1.9528521	1.9251327	1.9805716
Linear_AE	2	1.3384687	0.9263797	1.7505576
Linear_AE	3	1.1680889	0.7020499	1.6341280
Linear_AE	4	1.1111234	0.8373354	1.3849113
Linear_AE	5	0.8834261	0.0001000	2.8422540
Linear_AE	6	0.6936661	0.6924033	0.6949288
Linear_AE	7	0.6927953	0.6829938	0.7025968
Linear_AE	8	0.6927953	0.6829938	0.7025968
Linear_AE	9	0.6927953	0.6829938	0.7025968
Linear_AE	10	0.6927953	0.6829938	0.7025968
Linear_AE	11	0.6927953	0.6829938	0.7025968
Linear_AE	12	0.6927953	0.6829938	0.7025968
Linear_AE	13	0.6927953	0.6829938	0.7025968
Linear_AE	14	0.6927953	0.6829938	0.7025968
Linear_AE	15	0.6927953	0.6829938	0.7025968
Linear_AE	16	0.6927953	0.6829938	0.7025968
Linear_AE	17	0.6927953	0.6829938	0.7025968
Linear_AE	18	0.6927953	0.6829938	0.7025968
Linear_AE	19	0.6927953	0.6829938	0.7025968
Linear_AE	20	0.6927953	0.6829938	0.7025968
