model	gen	abs_mean	abs95d	abs95u
BTER	1	0.0005452	0.0004809	0.0006095
BTER	2	0.0008932	0.0007871	0.0009992
BTER	3	0.0012299	0.0010320	0.0014278
BTER	4	0.0016153	0.0013402	0.0018904
BTER	5	0.0023677	0.0017782	0.0029572
BTER	6	0.0027228	0.0020398	0.0034058
BTER	7	0.0032801	0.0022633	0.0042968
BTER	8	0.0039952	0.0028557	0.0051347
BTER	9	0.0043234	0.0029030	0.0057437
BTER	10	0.0043753	0.0030737	0.0056770
BTER	11	0.0049906	0.0036083	0.0063730
BTER	12	0.0054013	0.0040341	0.0067685
BTER	13	0.0067303	0.0043807	0.0090799
BTER	14	0.0069849	0.0050729	0.0088969
BTER	15	0.0082427	0.0058578	0.0106275
BTER	16	0.0085794	0.0057238	0.0114349
BTER	17	0.0100641	0.0066310	0.0134971
BTER	18	0.0089233	0.0061749	0.0116717
BTER	19	0.0104649	0.0061742	0.0147555
BTER	20	0.0124208	0.0071420	0.0176997
