model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.8208183700877523	0.818997613862762	0.8226391263127425	0.8208183700877523	0.818997613862762	0.8226391263127425
BUGGE	2	0.8116912699444468	0.8057508055780375	0.8176317343108562	0.9916909620991253	0.9883577395973245	0.9950241846009261
BUGGE	3	0.8174961056355889	0.8153684666157941	0.8196237446553838	0.9916909620991252	0.9881971740295253	0.9951847501687251
BUGGE	4	0.817642139237882	0.8147008182767908	0.8205834601989732	0.9939504373177841	0.9921466497459213	0.9957542248896469
BUGGE	5	0.8164008536183924	0.8136264320737859	0.8191752751629989	0.9938046647230321	0.9920060936516616	0.9956032357944026
BUGGE	6	0.8191024752608109	0.8172990646865262	0.8209058858350956	0.9938046647230321	0.9915613195115345	0.9960480099345297
BUGGE	7	0.8185183408516393	0.8155701962226011	0.8214664854806776	0.9938775510204081	0.9915932939716211	0.9961618080691951
BUGGE	8	0.8143563831862919	0.8115591142399338	0.81715365213265	0.9932944606413993	0.9913567398785698	0.9952321814042288
BUGGE	9	0.8137357403765472	0.8079426091183145	0.8195288716347798	0.9905976676384839	0.986859503617445	0.9943358316595228
BUGGE	10	0.8171310216298568	0.8144708266117024	0.8197912166480112	0.9922740524781338	0.9890548634130588	0.9954932415432088
BUGGE	11	0.8169119712264176	0.8143609473975493	0.8194629950552859	0.993221574344023	0.9909932376316891	0.9954499110563569
BUGGE	12	0.8183357988487732	0.816334529129834	0.8203370685677124	0.9927113702623905	0.9896199426665052	0.9958027978582759
BUGGE	13	0.8155246520046351	0.8120119303869794	0.8190373736222908	0.9924198250728863	0.9905279021087839	0.9943117480369886
BUGGE	14	0.8142833663851456	0.8100517912772529	0.8185149414930384	0.9901603498542272	0.9871220605850972	0.9931986391233572
BUGGE	15	0.8143563831862919	0.8108820278354028	0.817830738537181	0.989941690962099	0.9867821229681558	0.9931012589560423
BUGGE	16	0.8164008536183924	0.8133960990219989	0.8194056082147859	0.9906705539358599	0.987681106111493	0.9936600017602268
BUGGE	17	0.8157071940075012	0.8129973722411812	0.8184170157738213	0.9901603498542272	0.9877863822881991	0.9925343174202552
BUGGE	18	0.8181167484453339	0.8162131640474363	0.8200203328432315	0.9943148688046645	0.9924081051541284	0.9962216324552006
BUGGE	19	0.8141008243822795	0.8098392460703726	0.8183624026941864	0.9924198250728863	0.9904934516818871	0.9943461984638855
BUGGE	20	0.812384929555338	0.807132619329929	0.8176372397807471	0.9886297376093295	0.9851341571312062	0.9921253180874527
