model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.8551749271137024	0.8531549061602488	0.8571949480671559	0.8551749271137024	0.8531549061602488	0.8571949480671559
Erdos-Renyi	2	0.8548833819241981	0.8528457185313795	0.8569210453170167	0.9981778425655976	0.9976597181233471	0.9986959670078481
Erdos-Renyi	3	0.8516763848396499	0.8496777403709309	0.8536750293083689	0.9983236151603497	0.9978063549796555	0.9988408753410439
Erdos-Renyi	4	0.8554664723032069	0.8534678278344879	0.8574651167719259	0.9981778425655976	0.9976597181233471	0.9986959670078481
Erdos-Renyi	5	0.8543002915451894	0.8522381823016011	0.8563624007887777	0.9983965014577257	0.9978809741468286	0.9989120287686228
Erdos-Renyi	6	0.8522594752186587	0.8502218118258401	0.8542971386114774	0.9983236151603496	0.9978063549796554	0.9988408753410438
Erdos-Renyi	7	0.8543002915451893	0.852238182301601	0.8563624007887776	0.9983236151603497	0.9978063549796555	0.9988408753410439
Erdos-Renyi	8	0.8543002915451893	0.852238182301601	0.8563624007887776	0.9982507288629737	0.9977326044207232	0.9987688533052242
Erdos-Renyi	9	0.8545918367346936	0.8525401686176565	0.8566435048517308	0.9980320699708454	0.9975165426599483	0.9985475972817425
Erdos-Renyi	10	0.8528425655976675	0.8507804563540792	0.8549046748412558	0.9979591836734694	0.99744626664421	0.9984721007027287
Erdos-Renyi	11	0.8537172011661804	0.8516447033971787	0.8557896989351822	0.9980320699708454	0.9975165426599483	0.9985475972817425
Erdos-Renyi	12	0.8551749271137024	0.8531549061602488	0.8571949480671559	0.9981778425655975	0.997659718123347	0.998695967007848
Erdos-Renyi	13	0.8534256559766761	0.8513531582076743	0.8554981537456778	0.9979591836734694	0.99744626664421	0.9984721007027287
Erdos-Renyi	14	0.8545918367346936	0.8525401686176565	0.8566435048517308	0.9979591836734694	0.99744626664421	0.9984721007027287
Erdos-Renyi	15	0.8525510204081631	0.8504993522911259	0.8546026885252003	0.9980320699708453	0.9975165426599482	0.9985475972817424
Erdos-Renyi	16	0.8528425655976675	0.8507804563540792	0.8549046748412558	0.9983236151603497	0.9978063549796555	0.9988408753410439
Erdos-Renyi	17	0.8537172011661806	0.8516447033971788	0.8557896989351823	0.9980320699708454	0.9975165426599483	0.9985475972817425
Erdos-Renyi	18	0.8534256559766762	0.8513531582076744	0.855498153745678	0.9980320699708454	0.9975165426599483	0.9985475972817425
Erdos-Renyi	19	0.8543002915451893	0.852238182301601	0.8563624007887776	0.9983236151603497	0.9978063549796555	0.9988408753410439
Erdos-Renyi	20	0.8525510204081631	0.8504993522911259	0.8546026885252003	0.9982507288629737	0.9977326044207232	0.9987688533052242
