model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.9714399052129727	0.9654269981827874	0.977452812243158	0.9714399052129727	0.9654269981827874	0.977452812243158
Erdos-Renyi	2	0.975788253079457	0.9693912078233431	0.982185298335571	0.9790466106946444	0.9725750459573492	0.9855181754319395
Erdos-Renyi	3	0.9724291095740029	0.9658615280249268	0.978996691123079	0.9777706254206658	0.9713760516888464	0.9841651991524852
Erdos-Renyi	4	0.9759083807627544	0.9696919545271075	0.9821248069984013	0.9804267607670193	0.9752283627711089	0.9856251587629297
Erdos-Renyi	5	0.9671598605412279	0.9609759137945568	0.973343807287899	0.9758942830155704	0.9694791414355621	0.9823094245955786
Erdos-Renyi	6	0.9719778349743762	0.9660011499223465	0.9779545200264058	0.9830042546423963	0.9787904949105495	0.9872180143742431
Erdos-Renyi	7	0.9692686220323905	0.9632875076665307	0.9752497363982503	0.9858359366185571	0.9811149995852857	0.9905568736518284
Erdos-Renyi	8	0.9703595382354857	0.9640655529690576	0.9766535235019138	0.9836136739756851	0.9785879201138966	0.9886394278374736
Erdos-Renyi	9	0.9736283054368688	0.9673845447943453	0.9798720660793924	0.9799105029843015	0.9739270432455647	0.9858939627230383
Erdos-Renyi	10	0.9704691135528255	0.9642793768551604	0.9766588502504906	0.9838825567724162	0.9789516778426731	0.9888134357021593
Erdos-Renyi	11	0.9698055847964435	0.962392575150005	0.9772185944428821	0.9761838830734921	0.9699977223821465	0.9823700437648377
Erdos-Renyi	12	0.9750398179506197	0.968973707815586	0.9811059280856533	0.9821254239965603	0.9765608767305065	0.9876899712626142
Erdos-Renyi	13	0.9706337813692647	0.9635910845080142	0.9776764782305152	0.9836920502872027	0.9791013198390395	0.988282780735366
Erdos-Renyi	14	0.9649363617177403	0.9584514704005181	0.9714212530349625	0.9763959273732781	0.9702020194884339	0.9825898352581223
Erdos-Renyi	15	0.9739742460077474	0.9677986230677308	0.980149868947764	0.97867330731712	0.9727736923889042	0.9845729222453358
Erdos-Renyi	16	0.9699528069093504	0.9635852691007211	0.9763203447179797	0.981968609087599	0.9766410793273395	0.9872961388478585
Erdos-Renyi	17	0.9729868497898184	0.9668744069967553	0.9790992925828815	0.9820000769910097	0.9765748606368824	0.987425293345137
Erdos-Renyi	18	0.969403541609953	0.9628547050838961	0.9759523781360099	0.9803194916830782	0.9747625745951735	0.9858764087709829
Erdos-Renyi	19	0.9648510022135323	0.9578113099406903	0.9718906944863742	0.9806468724024948	0.9749964250476626	0.986297319757327
Erdos-Renyi	20	0.9681982963153946	0.9609078749889275	0.9754887176418616	0.980062553528786	0.9737706117824438	0.9863544952751282
