model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.9974178	0.9974106	0.9974249
Chung-Lu	2	0.9974211	0.9974137	0.9974286
Chung-Lu	3	0.9974251	0.9974162	0.9974339
Chung-Lu	4	0.9974320	0.9974232	0.9974408
Chung-Lu	5	0.9974231	0.9974148	0.9974314
Chung-Lu	6	0.9974355	0.9974258	0.9974452
Chung-Lu	7	0.9974450	0.9974370	0.9974529
Chung-Lu	8	0.9974326	0.9974230	0.9974423
Chung-Lu	9	0.9974407	0.9974308	0.9974505
Chung-Lu	10	0.9974415	0.9974300	0.9974530
Chung-Lu	11	0.9974343	0.9974245	0.9974441
Chung-Lu	12	0.9974441	0.9974322	0.9974560
Chung-Lu	13	0.9974260	0.9974127	0.9974393
Chung-Lu	14	0.9974327	0.9974199	0.9974455
Chung-Lu	15	0.9974094	0.9973938	0.9974251
Chung-Lu	16	0.9974138	0.9973983	0.9974293
Chung-Lu	17	0.9974162	0.9974028	0.9974296
Chung-Lu	18	0.9974042	0.9973888	0.9974195
Chung-Lu	19	0.9973888	0.9973725	0.9974052
Chung-Lu	20	0.9973657	0.9973479	0.9973836
