model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.9399676	0.9383295	0.9416058
BUGGE	2	0.9534104	0.9520571	0.9547637
BUGGE	3	0.9542108	0.9524990	0.9559226
BUGGE	4	0.9566751	0.9552860	0.9580642
BUGGE	5	0.9554433	0.9538773	0.9570093
BUGGE	6	0.9544251	0.9528371	0.9560130
BUGGE	7	0.9559471	0.9544241	0.9574701
BUGGE	8	0.9556980	0.9540060	0.9573901
BUGGE	9	0.9589253	0.9570688	0.9607818
BUGGE	10	0.9566446	0.9548173	0.9584720
BUGGE	11	0.9560797	0.9543060	0.9578534
BUGGE	12	0.9573848	0.9559250	0.9588445
BUGGE	13	0.9575010	0.9557777	0.9592244
BUGGE	14	0.9571420	0.9556073	0.9586767
BUGGE	15	0.9575459	0.9559552	0.9591366
BUGGE	16	0.9588141	0.9569620	0.9606661
BUGGE	17	0.9588826	0.9572245	0.9605408
BUGGE	18	0.9594051	0.9579572	0.9608530
BUGGE	19	0.9598422	0.9583187	0.9613657
BUGGE	20	0.9603982	0.9589729	0.9618234
