model	gen	abs_mean	abs95d	abs95u
CNRG	1	0.4590689	0.4563694	0.4617683
CNRG	2	0.4553824	0.4515919	0.4591728
CNRG	3	0.4567942	0.4525448	0.4610437
CNRG	4	0.4550120	0.4513447	0.4586792
CNRG	5	0.4522176	0.4482140	0.4562212
CNRG	6	0.4519596	0.4488686	0.4550505
CNRG	7	0.4549217	0.4517008	0.4581426
CNRG	8	0.4574749	0.4543550	0.4605947
CNRG	9	0.4592340	0.4564212	0.4620469
CNRG	10	0.4631058	0.4601530	0.4660585
CNRG	11	0.4708339	0.4674348	0.4742330
CNRG	12	0.4786203	0.4740902	0.4831505
CNRG	13	0.4874456	0.4827307	0.4921605
CNRG	14	0.4988687	0.4935193	0.5042180
CNRG	15	0.5108082	0.5044648	0.5171517
CNRG	16	0.5201549	0.5132081	0.5271018
CNRG	17	0.5316514	0.5244362	0.5388667
CNRG	18	0.5407283	0.5339708	0.5474858
CNRG	19	0.5497668	0.5429029	0.5566306
CNRG	20	0.5569920	0.5501928	0.5637911
