model	gen	abs_mean	abs95d	abs95u
GCN_AE	1	0.9985733	0.9984374	0.9987092
GCN_AE	2	0.9938518	0.9917992	0.9959044
GCN_AE	3	0.9959542	0.9924286	0.9994798
GCN_AE	4	0.9977004	0.9959173	0.9994835
GCN_AE	5	0.9981197	0.9964609	0.9997786
GCN_AE	6	0.9977279	0.9954728	0.9999830
GCN_AE	7	0.9986812	0.9974694	0.9998931
GCN_AE	8	0.9988590	0.9979435	0.9997744
GCN_AE	9	0.9986398	0.9974582	0.9998214
GCN_AE	10	0.9987437	0.9977470	0.9997404
GCN_AE	11	0.9987437	0.9977470	0.9997404
GCN_AE	12	0.9987437	0.9977470	0.9997404
GCN_AE	13	0.9987437	0.9977470	0.9997404
GCN_AE	14	0.9987437	0.9977470	0.9997404
GCN_AE	15	0.9987437	0.9977470	0.9997404
GCN_AE	16	0.9987437	0.9977470	0.9997404
GCN_AE	17	0.9987437	0.9977470	0.9997404
GCN_AE	18	0.9987437	0.9977470	0.9997404
GCN_AE	19	0.9987437	0.9977470	0.9997404
GCN_AE	20	0.9987437	0.9977470	0.9997404
