model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.9104387	0.9094421	0.9114353
Chung-Lu	2	0.9093750	0.9082215	0.9105285
Chung-Lu	3	0.9099494	0.9088829	0.9110159
Chung-Lu	4	0.9097778	0.9086216	0.9109341
Chung-Lu	5	0.9094918	0.9081779	0.9108057
Chung-Lu	6	0.9097118	0.9085090	0.9109146
Chung-Lu	7	0.9095113	0.9083619	0.9106606
Chung-Lu	8	0.9096254	0.9085006	0.9107502
Chung-Lu	9	0.9102315	0.9089739	0.9114892
Chung-Lu	10	0.9093318	0.9081558	0.9105078
Chung-Lu	11	0.9106523	0.9094764	0.9118282
Chung-Lu	12	0.9102891	0.9090859	0.9114923
Chung-Lu	13	0.9113405	0.9102724	0.9124087
Chung-Lu	14	0.9112818	0.9101987	0.9123648
Chung-Lu	15	0.9098384	0.9085314	0.9111454
Chung-Lu	16	0.9114856	0.9103577	0.9126135
Chung-Lu	17	0.9103006	0.9091048	0.9114965
Chung-Lu	18	0.9107432	0.9095247	0.9119616
Chung-Lu	19	0.9127554	0.9116167	0.9138940
Chung-Lu	20	0.9118053	0.9107767	0.9128339
