model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	0.0618800	0.0610667	0.0626933	0.0618800	0.0610667	0.0626933
Chung-Lu	2	0.0698600	0.0687363	0.0709837	0.0576800	0.0564281	0.0589319
Chung-Lu	3	0.0740200	0.0731521	0.0748879	0.0575000	0.0563244	0.0586756
Chung-Lu	4	0.0816400	0.0748479	0.0884321	0.0610800	0.0536223	0.0685377
Chung-Lu	5	0.0842000	0.0774730	0.0909270	0.0558200	0.0547145	0.0569255
Chung-Lu	6	0.0863000	0.0796433	0.0929567	0.0540800	0.0527684	0.0553916
Chung-Lu	7	0.0919600	0.0827727	0.1011473	0.0571400	0.0495649	0.0647151
Chung-Lu	8	0.0936200	0.0844404	0.1027996	0.0537200	0.0525919	0.0548481
Chung-Lu	9	0.0948000	0.0857699	0.1038301	0.0527000	0.0514030	0.0539970
Chung-Lu	10	0.0942400	0.0850990	0.1033810	0.0509200	0.0496428	0.0521972
Chung-Lu	11	0.0967600	0.0877327	0.1057873	0.0502600	0.0490780	0.0514420
Chung-Lu	12	0.0986800	0.0897820	0.1075780	0.0497200	0.0486519	0.0507881
Chung-Lu	13	0.1003400	0.0914383	0.1092417	0.0488600	0.0474524	0.0502676
Chung-Lu	14	0.1019200	0.0931310	0.1107090	0.0480200	0.0467667	0.0492733
Chung-Lu	15	0.1031600	0.0944287	0.1118913	0.0468200	0.0455970	0.0480430
Chung-Lu	16	0.1084600	0.0979042	0.1190158	0.0501000	0.0422494	0.0579506
Chung-Lu	17	0.1100600	0.0996711	0.1204489	0.0450000	0.0439305	0.0460695
Chung-Lu	18	0.1116400	0.1012623	0.1220177	0.0445000	0.0434087	0.0455913
Chung-Lu	19	0.1134600	0.1031908	0.1237292	0.0439400	0.0428260	0.0450540
Chung-Lu	20	0.1180600	0.1063529	0.1297671	0.0473200	0.0394499	0.0551901
