model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
SBM	1	0.4287800	0.4242487	0.4333113	0.4287800	0.4242487	0.4333113
SBM	2	0.4298600	0.4256236	0.4340964	0.0753400	0.0725468	0.0781332
SBM	3	0.4332000	0.4294985	0.4369015	0.0752800	0.0728298	0.0777302
SBM	4	0.4350400	0.4311391	0.4389409	0.0730600	0.0715253	0.0745947
SBM	5	0.4363200	0.4325780	0.4400620	0.0711800	0.0698486	0.0725114
SBM	6	0.4371400	0.4332260	0.4410540	0.0711600	0.0698515	0.0724685
SBM	7	0.4365400	0.4330314	0.4400486	0.0727200	0.0701522	0.0752878
SBM	8	0.4394200	0.4356892	0.4431508	0.0716800	0.0692148	0.0741452
SBM	9	0.4367200	0.4321023	0.4413377	0.0748000	0.0712314	0.0783686
SBM	10	0.4416600	0.4381682	0.4451518	0.0739400	0.0698815	0.0779985
SBM	11	0.4388800	0.4346182	0.4431418	0.0720800	0.0687983	0.0753617
SBM	12	0.4417600	0.4379069	0.4456131	0.0729600	0.0691501	0.0767699
SBM	13	0.4405000	0.4362901	0.4447099	0.0715400	0.0677318	0.0753482
SBM	14	0.4442800	0.4408131	0.4477469	0.0706000	0.0673551	0.0738449
SBM	15	0.4421800	0.4383051	0.4460549	0.0694200	0.0666030	0.0722370
SBM	16	0.4416400	0.4379045	0.4453755	0.0707400	0.0668710	0.0746090
SBM	17	0.4425000	0.4380060	0.4469940	0.0726400	0.0683419	0.0769381
SBM	18	0.4426600	0.4389551	0.4463649	0.0726200	0.0683697	0.0768703
SBM	19	0.4443000	0.4406982	0.4479018	0.0681600	0.0656915	0.0706285
SBM	20	0.4429000	0.4387010	0.4470990	0.0674600	0.0647668	0.0701532
