model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	0.7205800	0.6421620	0.7989980	0.7205800	0.6421620	0.7989980
Chung-Lu	2	0.8703600	0.8287115	0.9120085	0.2659600	0.1678796	0.3640404
Chung-Lu	3	0.9268400	0.8917460	0.9619340	0.1468600	0.0676362	0.2260838
Chung-Lu	4	0.9600000	0.9346831	0.9853169	0.0910600	0.0271373	0.1549827
Chung-Lu	5	0.9695400	0.9494859	0.9895941	0.0355200	-0.0031471	0.0741871
Chung-Lu	6	0.9731000	0.9564177	0.9897823	0.0219400	-0.0055719	0.0494519
Chung-Lu	7	0.9706600	0.9540019	0.9873181	0.0078000	0.0064184	0.0091816
Chung-Lu	8	0.9746600	0.9626881	0.9866319	0.0198400	-0.0076287	0.0473087
Chung-Lu	9	0.9730400	0.9610486	0.9850314	0.0057000	0.0047899	0.0066101
Chung-Lu	10	0.9710200	0.9590677	0.9829723	0.0060800	0.0049580	0.0072020
Chung-Lu	11	0.9751000	0.9739399	0.9762601	0.0191400	-0.0080595	0.0463395
Chung-Lu	12	0.9728800	0.9715699	0.9741901	0.0062400	0.0052800	0.0072000
Chung-Lu	13	0.9710000	0.9696983	0.9723017	0.0050600	0.0042952	0.0058248
Chung-Lu	14	0.9697200	0.9683894	0.9710506	0.0036600	0.0030114	0.0043086
Chung-Lu	15	0.9682600	0.9666525	0.9698675	0.0188000	-0.0078403	0.0454403
Chung-Lu	16	0.9672200	0.9653557	0.9690843	0.0173400	-0.0098841	0.0445641
Chung-Lu	17	0.9657600	0.9638158	0.9677042	0.0039400	0.0033047	0.0045753
Chung-Lu	18	0.9646600	0.9624005	0.9669195	0.0178200	-0.0087300	0.0443700
Chung-Lu	19	0.9638000	0.9612182	0.9663818	0.0172600	-0.0093938	0.0439138
Chung-Lu	20	0.9623800	0.9597240	0.9650360	0.0039800	0.0033792	0.0045808
